timestamp,timestamp_date_format,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
1648771919999,4/1/22 0:12,2.117777785,1.789555589,1.818444411,1.791555524,1.678222219,1.505777756,1.733555555,2.406666676,1.632000009,2.145777782,1.858888904,1.581555565
1648772639999,4/1/22 0:24,2.17233336,1.493000031,1.68599999,1.572000027,1.973333359,1.739000022,1.937333345,1.905000031,1.937666595,2.046666682,1.635333359,1.378000021
1648773359999,4/1/22 0:36,2.354333341,1.773999989,1.855333388,1.58433336,1.674333334,1.586333334,1.969333351,1.707666636,1.625999987,1.674333334,1.964333296,1.376333296
1648774079999,4/1/22 0:48,2.491333365,1.492444475,1.987999996,1.767111103,1.865555565,1.506444454,1.70377775,2.038888892,1.836222251,1.901111126,1.663777788,1.547555526
1648774799999,4/1/22 1:00,2.25666666,1.735333323,1.599999964,1.563333333,1.713333309,1.834666669,2.00666666,1.567333341,1.627000034,1.690333366,1.618666649,1.392666638
1648775519999,4/1/22 1:12,1.929555535,1.820444425,1.865111073,1.775555571,1.651777784,1.526666641,1.68599995,1.885333339,1.635555545,2.160666704,1.856444399,1.587555528
1648776239999,4/1/22 1:24,2.246999979,1.523000002,1.523999989,1.591666639,1.900666595,1.794666648,1.963333368,1.794666648,1.906666696,2.173666596,1.66566664,1.384000003
1648776959999,4/1/22 1:36,1.926666617,1.769999981,1.499000013,1.609000027,1.634666681,1.567666709,1.71966666,2.159333348,1.795666695,1.989666641,1.95266664,1.388333321
1648777679999,4/1/22 1:48,1.96488893,1.514888883,1.638888876,1.815777779,1.844222228,1.554222226,1.826888879,1.768888871,2.186888933,1.772222241,1.652666688,1.527111093
1648778399999,4/1/22 2:00,2.642333388,1.718666673,1.448333323,1.61499995,1.647333324,1.863333404,2.114333391,2.01333338,2.071333349,1.805000007,1.657333374,1.362999976
1648779119999,4/1/22 2:12,1.960666656,1.514444431,1.622222225,1.836222251,1.636666656,1.553333362,1.707999984,2.011111101,1.784888903,1.887777805,1.852666656,1.540444454
1648779839999,4/1/22 2:24,2.226999998,1.56066668,1.437333345,1.605000019,1.942000031,1.802666664,1.932666719,2.33100003,1.975666583,1.686666667,1.641666651,1.375333369
1648780559999,4/1/22 2:36,2.167666674,1.842333257,1.443333328,1.61500001,1.673666656,1.615666687,1.966000021,1.78033334,1.58100003,1.910666645,1.983999968,1.374000013
1648781279999,4/1/22 2:48,1.94711109,1.49777774,1.631999969,1.773111145,1.822444439,1.558222214,1.986444473,1.772888859,1.79511114,2.119555593,1.673111121,1.541555564
1648781999999,4/1/22 3:00,2.233666658,1.759333372,1.417333364,1.577000022,1.65200001,1.843666673,2.251999974,1.855333328,1.712000012,1.758333325,1.654333353,1.358333349
1648782719999,4/1/22 3:12,1.964666684,1.68933332,1.613333344,1.805777748,1.648222208,1.541777809,1.725555539,2.025777777,1.585111101,1.815555533,2.239555558,1.516888857
1648783439999,4/1/22 3:24,2.28733331,2.203666687,1.451000035,1.58133328,1.943333268,1.837666631,2.001666605,1.934333324,1.944666624,1.634666681,1.994000018,1.374000013
1648784159999,4/1/22 3:36,7.978333473,2.122999966,1.492333353,1.821333349,1.659666657,1.585333347,1.64866668,1.861999989,1.980666637,1.617666721,1.955666661,1.357333302
1648784879999,4/1/22 3:48,9.402888775,1.760222236,2.258222183,2.128222227,1.848222216,1.552000006,2.161999981,2.14755555,1.924666683,1.955333352,2.438888868,1.527777791
1648785599999,4/1/22 4:00,2.361999989,1.881000042,1.913666725,1.566666663,1.680000007,1.790666699,2.246333361,2.02366668,1.753666639,2.30400002,2.525333285,1.35799998
1648786319999,4/1/22 4:12,2.686444521,2.206888954,1.678666671,1.990444382,1.682000001,1.527999997,2.754000028,2.241555532,1.879111052,2.259333332,2.214888891,1.55511109
1648787039999,4/1/22 4:24,2.414999962,2.079999924,1.671333373,2.643333316,1.975666642,1.744333386,2.282333314,2.21299994,2.120666683,1.736000001,2.193666577,1.384333313
1648787759999,4/1/22 4:36,2.672666669,3.45633328,1.798000038,2.076000035,1.782000005,1.659000039,3.068333387,2.860000014,2.800333381,2.740333319,2.682000041,1.451333344
1648788479999,4/1/22 4:48,11.49488918,2.890222152,2.499333342,2.568444371,1.911777814,1.568666657,3.753555536,2.130444407,2.390444438,2.749999921,2.536888838,1.839333296
1648789199999,4/1/22 5:00,4.599999905,4.205999851,3.065333366,3.144000053,2.296000063,2.561666667,3.838999987,2.308666706,2.719333291,3.045999885,3.875666618,1.424333334
1648789919999,4/1/22 5:12,3.922222217,4.886888981,2.609999975,3.538888852,1.697555542,1.608888904,3.360000054,2.49666667,1.949777722,3.233333349,3.855333328,1.565777779
1648790639999,4/1/22 5:24,4.010666728,3.727666616,2.927666664,3.842999935,2.015000045,1.918666601,5.094666481,3.655999899,2.538666725,3.281666756,3.529333234,1.358666658
1648791359999,4/1/22 5:36,3.916333318,6.187333345,4.122666597,5.27699995,1.704333305,1.638999999,5.367666721,4.190000057,3.611333251,5.525333405,4.844666719,1.363333344
1648792079999,4/1/22 5:48,8.145111084,7.154888948,6.158888976,8.557999929,1.935777783,1.627333323,7.390889009,7.657777945,7.295333385,7.388888995,6.647110939,1.569777807
1648792799999,4/1/22 6:00,10.98266649,8.507999897,7.548999786,12.22433329,1.840666652,2.028000057,11.37533379,7.763333559,10.13433361,8.119333506,11.4920001,1.443333328
1648793519999,4/1/22 6:12,16.1839997,21.29466693,15.47955577,20.35311127,1.814222256,1.731111129,23.93866666,14.8064448,16.90044403,16.42933305,19.28688939,1.653333306
1648794239999,4/1/22 6:24,22.20499992,26.8866663,20.91866684,24.35100079,2.239333332,2.116333306,29.02933407,21.49566746,25.81833363,23.78999996,25.85333347,1.559000015
1648794959999,4/1/22 6:36,28.23166656,28.98033333,26.90500069,29.00666714,1.946333289,1.834999979,33.00266647,26.47699928,29.47500038,32.2193327,31.50766659,1.528666675
1648795679999,4/1/22 6:48,43.05822245,36.86088816,33.31488927,33.8395551,2.236222267,1.922444423,39.6595548,33.27022235,43.39111074,43.37599945,41.65999985,1.75111107
1648796399999,4/1/22 7:00,49.76933289,43.64066696,40.91066742,44.03666687,2.011333346,2.148000062,50.52199936,43.36499977,50.40600014,46.61999893,48.02033234,1.596666634
1648797119999,4/1/22 7:12,56.37799962,50.14244461,48.2197787,46.43511073,2.210666656,1.963333368,61.43177795,54.42355601,63.36999893,54.8771108,55.8742218,1.867111166
