timestamp,timestamp_date_format,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
1643674319999,2/1/22 0:12,2.676222245,2.20600005,1.589555542,1.836888909,1.90755558,1.60466671,2.255111059,1.739777803,3.234000047,1.715999961,2.06622227,1.621777773
1643675039999,2/1/22 0:24,2.78700006,1.941333294,1.810333371,2.22633332,1.648000002,1.913333356,2.867666721,1.530999959,2.011999965,2.019999981,2.243999958,1.444333315
1643675759999,2/1/22 0:36,3.130000035,1.884666642,1.90755554,1.827777823,2.006444454,1.75222222,2.209111134,5.76777796,2.242666642,2.036444465,1.987333298,1.869111101
1643676479999,2/1/22 0:48,2.133333325,1.664333344,1.515333354,1.485000014,1.65200001,1.610000014,2.384333253,1.726999998,1.752333343,2.111000001,2.123666644,1.43233335
1643677199999,2/1/22 1:00,2.534333348,1.825333297,2.010333359,1.461333334,1.632333338,1.925999999,2.519333243,2.080000043,1.805666685,1.525333345,1.768666685,1.387666702
1643677919999,2/1/22 1:12,2.11688892,1.518222173,1.619555553,1.670222243,1.879999995,1.634888887,2.202222188,1.932222247,1.94488891,1.442888856,1.781333327,1.585111101
1643678639999,2/1/22 1:24,2.393333316,1.768000007,1.884333313,1.813666642,1.665333331,1.988333344,2.922666669,1.813666642,1.718666673,1.795000017,2.095333278,1.384000003
1643679359999,2/1/22 1:36,2.118444443,1.479111115,1.50666666,1.64533333,1.869999965,1.707555532,2.276222269,2.053555608,1.930000027,1.565555573,1.783555547,1.565555573
1643680079999,2/1/22 1:48,2.06099999,1.49666661,1.813666642,1.446999967,1.670666695,1.550999999,2.484666586,1.964666724,1.741666675,1.69600004,2.10799998,1.404333293
1643680799999,2/1/22 2:00,2.6146667,1.91566664,1.728666663,1.419666708,1.649333298,1.868333399,2.190000057,2.060666621,1.776666701,1.409999967,1.756000042,1.463999987
1643681519999,2/1/22 2:12,2.106444518,1.494666656,1.933777769,1.665777763,1.872000019,1.574222207,2.233111064,1.811333338,1.932888865,1.451333364,1.770666679,1.609777768
1643682239999,2/1/22 2:24,2.408666611,1.744333267,1.745000005,1.412666678,1.689999998,1.890333295,2.35466671,1.872333348,1.974000037,1.723666668,2.104333282,1.445333362
1643682959999,2/1/22 2:36,2.143111149,1.457555572,1.569111069,1.841777841,1.963777781,1.582444429,2.29955554,1.889111121,2.131111145,1.447555582,1.809555531,1.609777768
1643683679999,2/1/22 2:48,2.314999938,1.488666654,1.490333319,1.862666607,1.692333341,1.569666684,2.646333337,1.729333341,1.788999975,1.686333299,2.131999969,1.421000004
1643684399999,2/1/22 3:00,2.439999938,1.924333274,1.740999997,1.940000057,1.700333357,1.884666741,2.841666579,2.000666618,1.80399996,1.407333314,1.788000047,1.41899997
1643685119999,2/1/22 3:12,2.097555558,1.507555564,1.823333343,1.762222211,1.857777794,1.641555587,2.09466656,1.919999957,2.007999937,1.480444431,1.816444437,1.666000009
1643685839999,2/1/22 3:24,2.607333302,1.912333369,2.090666652,1.625,1.637666643,1.932666659,2.361666679,1.779999971,1.754000008,1.714666665,2.09799999,1.451999962
1643686559999,2/1/22 3:36,2.093333324,1.656666676,1.781999985,1.980666637,1.861999989,1.618888855,2.020666718,1.913777788,1.946222186,1.44155554,1.785555561,1.617555579
1643687279999,2/1/22 3:48,2.227999926,1.497333288,1.94933337,1.942333341,1.625,1.586000025,1.998666704,1.739333332,1.651333332,1.751666725,2.110333383,1.387999952
1643687999999,2/1/22 4:00,2.425999999,1.852333367,2.003999949,2.078000009,1.667333305,1.956666589,1.903666675,2.015666664,1.652666628,1.744666696,1.772333324,1.394333363
1643688719999,2/1/22 4:12,2.106222232,2.130888939,1.758444468,2.460888942,1.886666695,1.625777801,1.855333289,2.102222284,1.866666635,1.645111124,1.862888932,1.58799998
1643689439999,2/1/22 4:24,2.630666614,2.453999996,1.985333323,2.327999949,1.671999991,1.939999998,2.10799998,2.050999999,1.676666617,2.363333344,2.019999981,1.42900002
1643690159999,2/1/22 4:36,14.44133306,1.759111126,1.759333332,3.218888839,1.883333365,1.582222223,1.632444421,2.469555537,1.8964444,2.377777775,1.875777801,1.583555539
1643690879999,2/1/22 4:48,2.677000046,1.887666702,2.59800005,2.551666617,1.652666628,1.546999991,2.05399996,2.456666589,2.214666724,2.537666559,2.037666738,1.428000033
1643691599999,2/1/22 5:00,2.902333379,2.525333405,2.538999915,2.174000025,1.667333364,1.860333323,1.656333387,3.359000087,2.09799993,1.876666605,1.754333317,1.412666678
