timestamp,timestamp_date_format,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
1635725519999,11/1/21 0:12,1.951333284,1.463,1.440666616,1.689666688,2.370333433,2.164000034,1.934999943,1.59799999,2.083666682,1.465666652,1.601666629,2.11499995
1635726239999,11/1/21 0:24,2.255999923,1.688000023,1.415999949,1.850333333,2.639999986,2.200333357,1.590999961,1.564999998,1.745000005,2.030333281,1.613333344,1.852666676
1635726959999,11/1/21 0:36,2.156888922,1.71266667,1.80733331,1.672444463,2.497555494,2.617777824,1.942000031,1.856222192,2.152222236,2.206666748,2.314666669,2.190222224
1635727679999,11/1/21 0:48,2.251333296,1.778666675,1.447666645,1.45599997,2.640333414,2.230333328,1.939666688,1.441999972,1.718333304,2.82099998,1.808000028,1.878666639
1635728399999,11/1/21 1:00,1.932222207,1.420444449,1.604888876,1.644000014,2.268888871,2.433555524,1.582666636,1.617777785,1.674444437,1.704666694,1.880666733,1.861555576
1635729119999,11/1/21 1:12,2.222666621,1.595666707,1.443666637,1.489333332,2.287666678,2.15899992,1.918000042,1.485000014,2.039666712,1.850666642,1.611999989,2.09133327
1635729839999,11/1/21 1:24,2.247555534,1.629333297,1.574444413,1.673777779,2.474666675,2.168888887,1.575777769,1.441333334,1.674666643,1.54955558,1.592222214,1.818666697
1635730559999,11/1/21 1:36,2.118333399,1.467666686,1.428666711,1.402999997,2.253000021,2.528333426,1.637666643,1.709999979,2.056000054,1.401000023,1.936333358,2.102333367
1635731279999,11/1/21 1:48,2.285000026,1.857666612,1.488333344,1.430666685,2.567333341,2.16900003,1.933666706,1.423333347,1.67900002,1.755666673,1.588,1.958333313
1635731999999,11/1/21 2:00,1.940666636,1.430444439,1.599555532,1.691333373,2.258444389,2.418666681,1.612888892,1.636222204,1.670888901,1.488666654,1.853777806,1.834444443
1635732719999,11/1/21 2:12,1.94599998,1.585666656,1.446333349,1.502999961,2.341666698,2.230666637,1.974999964,1.756000042,2.05066669,1.381333292,1.689999998,2.316999972
1635733439999,11/1/21 2:24,2.276888887,1.65199995,1.632444421,1.739111145,2.53399992,2.329777797,1.636888901,1.55288887,1.756888866,1.550444444,1.63977778,1.888444463
1635734159999,11/1/21 2:36,1.953666627,1.489333332,1.443333328,1.43566668,2.302000046,2.603333235,1.588666677,1.737666667,2.085000038,1.392666638,1.940999985,2.192333281
1635734879999,11/1/21 2:48,2.40233326,1.739000022,1.434000015,1.417999983,2.626666665,2.224999905,1.910666645,1.480333328,1.710333288,1.665333331,1.766333342,1.898000002
1635735599999,11/1/21 3:00,1.920666695,1.454444448,1.587333361,1.661111116,2.281111161,2.348444462,1.615777771,1.578666647,1.701999982,1.391555548,1.794222196,1.828666647
1635736319999,11/1/21 3:12,2.136333287,1.482666671,1.424666643,1.442000031,2.374000072,2.243666649,2.029000044,1.363666713,2.092666686,1.592666686,1.691666663,2.148333371
1635737039999,11/1/21 3:24,2.260444482,1.685333331,1.623999993,1.631555597,2.597111146,2.269999981,1.713777781,1.354888876,1.776888887,1.736000021,1.757111112,1.885777791
1635737759999,11/1/21 3:36,1.965999961,1.494000018,1.430333376,1.418000042,2.302333355,2.619000077,1.681666672,1.6353333,2.029333293,1.606000006,1.980000019,2.152999997
1635738479999,11/1/21 3:48,2.351999998,1.759666681,1.450999975,1.432666659,2.639999986,2.260999918,2.01700002,1.37833333,1.693000019,1.850666642,1.668666661,1.838999987
1635739199999,11/1/21 4:00,1.946888884,1.481777787,1.6464444,1.80066665,2.296888908,2.402888934,1.645999988,1.552000046,1.696444432,1.481777787,1.854000012,1.882888913
1635739919999,11/1/21 4:12,1.971333325,1.531333327,1.488999963,1.603999972,2.405000091,2.206666708,1.995333254,1.35133332,2.062000036,1.454333365,1.682999969,2.191333354
1635740639999,11/1/21 4:24,2.327333331,1.773666739,1.465999961,1.972666681,2.633999944,2.184333324,1.573000014,1.365333319,1.717333317,1.775333345,1.616666675,1.892333388
1635741359999,11/1/21 4:36,10.23222196,1.585555553,1.653777838,1.451777776,2.290444454,2.431111018,1.61022222,1.655777772,1.950000008,1.409333309,1.988666654,2.057555517
1635742079999,11/1/21 4:48,2.261333287,2.051333368,1.409000039,1.453333318,2.629999995,2.106000066,1.933666706,1.377333343,1.906333327,1.66233331,1.72633332,1.870999992
