timestamp,timestamp_date_format,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
1648771200000,4/1/22 0:00,31789101100,27401912300,26998945800,26994014200,10859217900,11262162900,26556303400,26571421700,26609915900,27035394000,27137275900,9950210000
1648773600000,4/1/22 0:40,31782088700,27381346300,26999148500,26987597800,10860622800,11202818000,26555697200,26564481000,26600708100,27035476000,27135787000,9945500700
1648776000000,4/1/22 1:20,31728762900,27383263200,26997268500,26985162800,10865526800,11202949100,26560571400,26569875500,26608216100,27043999700,27141439500,9947694100
1648778400000,4/1/22 2:00,31736596500,27382470700,26996938800,26988513300,10867905500,11203397600,26566647800,26573160400,26617378800,27042340900,27143342100,9951914000
1648780800000,4/1/22 2:40,31735236600,27386331100,26996475900,26986192900,10870044700,11209399300,26558531600,26574786600,26611470300,27037853700,27147143200,9954160600
1648783200000,4/1/22 3:20,31729299500,27396372500,27001569300,26991861800,10873046000,11208277000,26571749400,26579220500,26620829700,27045978100,27153428500,9956441100
1648785600000,4/1/22 4:00,32165769200,27394791400,27012515800,27004389400,10875593700,11211583500,26572415000,26580688900,26620477400,27050332200,27160227800,9959536600
1648788000000,4/1/22 4:40,32289247200,27425804300,27028193300,27013945300,10884596700,11223074800,26623785000,26591320100,26624686100,27046627300,27168362500,9937895400
1648790400000,4/1/22 5:20,32865583100,27433959400,27053101100,27024439300,10911952900,11303807000,26691395600,26602500100,26634102800,27032064000,27163461600,9922388000
1648792800000,4/1/22 6:00,32516575200,27480225800,27086929900,27075153900,10917472300,11309683700,26681434100,26651803600,26670608400,27053953000,27190399000,9930909700
1648795200000,4/1/22 6:40,32375072800,27494406100,27114934300,27106431000,10899610600,11231892500,26690039800,26676301800,26710982700,27074342900,27202572300,9936157700
1648797600000,4/1/22 7:20,32298108900,27543590900,27170160600,27144658900,10925515800,11260567600,26731776000,26737924100,26758219800,27108464600,27266297900,9955272700
1648800000000,4/1/22 8:00,32130564100,27550437400,27180351500,27159418900,10937944100,11269804000,26724075500,26762655700,26789816300,27109240800,27280644100,9962465300
1648802400000,4/1/22 8:40,32009760800,27585521700,27181668400,27153285100,10935316500,11277125600,26747197400,26800275500,26823780400,27175106600,27267846100,9971090400
1648804800000,4/1/22 9:20,31899748400,27640657900,27232991200,27182764000,10943859700,11272499200,26777851900,26828963800,26781800400,27173259300,27291213800,9969056800
