timestamp,timestamp_date_format,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
1638316800000,12/1/21 0:00,31174588400,22169565200,26958196700,27394783200,11436119000,11464452100,26670569500,25172975600,30125664300,26998222800,26846081000,10573154300
1638319200000,12/1/21 0:40,30976503800,22147995600,26927681500,27375851500,11409752100,11455776800,26652088300,25157773300,30040373200,26981335000,26817183700,10572748800
1638321600000,12/1/21 1:20,30978818000,22136508400,26932260900,27372216300,11415407600,11458229200,26652626900,25149892600,30042955800,26976819200,26830960600,10579881000
1638324000000,12/1/21 2:00,30968553500,22138640400,26933628900,27373377500,11423263700,11461953500,26652321800,25150994400,30035662800,26968782800,26828093400,10587358200
1638326400000,12/1/21 2:40,19545686000,7465515500,8113806300,8544951800,7167294500,3890965250,26653759500,25162158100,30038726700,26915909600,26829635600,10582195200
1638328800000,12/1/21 3:20,19984932900,7655424000,9127748600,8820321300,6016481300,6091737600,8865538000,7551384600,8277490200,7473737200,8304840700,8137202700
1638331200000,12/1/21 4:00,19991994400,10461301800,14053741600,10407521300,6168366600,6264385000,9135463400,7628657200,10561472500,8203694100,8597023700,5484131300
1638333600000,12/1/21 4:40,21333993500,14176285700,20590870500,16179502100,7085759000,6279044100,14375241700,11088306200,19434524700,8685220900,8656472100,6131278300
1638336000000,12/1/21 5:20,21913802800,16333908000,20816992300,16430371800,7247455700,7740256800,20893970400,13117953000,19587315700,11158192100,8976199700,8064523800
1638338400000,12/1/21 6:00,30686830600,18953066500,21174304800,18548906000,9465627600,10097628200,21335726100,17200488400,20102039600,19590006800,15932120100,9232797700
1638340800000,12/1/21 6:40,30739546100,20449007600,21614581800,20960374800,10260396000,10154710000,21482864600,20398471200,20244045800,20096862200,17416413200,9256206300
1638343200000,12/1/21 7:20,30832326700,20649623600,21873889300,21241038800,10289243100,10240621600,21790466000,20569612300,20695941100,20298750000,21378283500,9328035800
1638345600000,12/1/21 8:00,31064105000,20853725200,22031620100,21357125600,10306291700,10262949900,21800826900,20920995800,20894855200,20602212400,21405239300,9366450200
