timestamp,timestamp_date_format,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
1643673600000,2/1/22 0:00,32142049300,26221047800,26925801500,26184312800,10684555300,10600845300,26568192000,26644572200,26484072400,26637869100,26362859500,9817027600
1643675400000,2/1/22 0:30,32124682200,26198495200,26895190000,26159018000,10611408900,10588209200,26543222800,26659778600,26461507600,26610384900,26332188700,9819847700
1643677200000,2/1/22 1:00,32123885600,26198675500,26897317900,26149478400,10605225000,10582443000,26547202000,26685820900,26458077200,26619066400,26333526000,9822772200
1643679000000,2/1/22 1:30,32126629900,26187970600,26898724900,26155264000,10607459300,10583408600,26548330500,26678808600,26451267600,26612320300,26330683400,9825730600
1643680800000,2/1/22 2:00,32117508100,26191974400,26901659600,26154059800,10607580200,10583365600,26549784600,26680422400,26457901100,26613387300,26328094700,9831083000
1643682600000,2/1/22 2:30,32110442500,26194831400,26900068400,26156836900,10613599200,10587036700,26543847400,26686214100,26461968400,26614714400,26331830300,9833248800
1643684400000,2/1/22 3:00,32117409800,26196533200,26897506300,26169063400,10615691300,10586779600,26559854600,26691131400,26465032200,26616651800,26333190100,9836118000
1643686200000,2/1/22 3:30,32115007500,26202826800,26909288400,26168350700,10618775600,10584206300,26555643900,26687766500,26469058600,26611335200,26335666200,9837446100
1643688000000,2/1/22 4:00,32106115100,26202716200,26907619300,26176661500,10620757000,10586556400,26555746300,26678646800,26462156800,26619224100,26338111500,9841294300
1643689800000,2/1/22 4:30,32277643300,26206775300,26916241400,26177062900,10621945900,10589652000,26556792800,26693818400,26465071100,26618286100,26345895900,9841837100
1643691600000,2/1/22 5:00,32147509200,26209200100,26913568800,26184427500,10622433300,10589069300,26548086800,26689663000,26475778000,26618470400,26343827500,9844322300
1643693400000,2/1/22 5:30,32152692700,26212749300,26921570300,26221809700,10629681200,10603303900,26564751400,26693351400,26512730100,26625562600,26353678300,9845875700
1643695200000,2/1/22 6:00,32522592300,26225266700,26899617800,26224236500,10695132200,10583532500,26565154800,26723113000,26497697800,26608351200,26342547500,9849410600
1643697000000,2/1/22 6:30,32828536800,26243969000,26902466600,26234671100,10699756500,10587672600,26565720100,26745266200,26502246400,26610380800,26347948000,9854990300
1643698800000,2/1/22 7:00,32767553500,26192244700,26912847900,26267938800,10705532900,10588129300,26581596200,26765641700,26506696700,26618165200,26353690600,9857321000
1643700600000,2/1/22 7:30,32682623000,26215649300,26932193300,26276601900,10706800600,10593427500,26589333500,26771322900,26518896600,26636349400,26367459300,9863249900
1643702400000,2/1/22 8:00,32697311200,26281248800,27037833200,26343508000,10672242700,10606343200,26607804400,26846150700,26544091100,26681511900,26410356700,9880050700
