timestamp,timestamp_date_format,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
1640995200000,1/1/22 0:00,31259602900,26844282900,26757597200,26423431200,11329294300,10755193900,26346455000,27194226700,26258970600,31047708700,26861416400,10195401700
1640996400000,1/1/22 0:20,31250010100,26840518700,26760122400,26425659400,11331285000,10751733800,26353272800,27194167300,26256607200,31037739000,26861467600,10195026900
1640997600000,1/1/22 0:40,31237302300,26808334300,26750015500,26353367000,11326379000,10679981100,26345115600,27182702600,26249529300,31025895400,26852323300,10199694300
1640998800000,1/1/22 1:00,31260543000,26836604900,26760564700,26354401300,11328364500,10682539000,26348488700,27198218200,26258145300,31044010000,26856519700,10200030200
1641000000000,1/1/22 1:20,31261491200,26837917700,26762735600,26358054900,11321388000,10683590700,26349457400,27198806000,26259968000,31043196900,26861969400,10196293600
1641001200000,1/1/22 1:40,31238068200,26840965100,26762584100,26361086000,11323968500,10685966300,26351867900,27197249500,26255032300,31044124700,26865602600,10198656000
1641002400000,1/1/22 2:00,31236786200,26824253400,26745536500,26350166000,11313376300,10677664800,26351507500,27184535600,26246871000,31026225200,26848841700,10199836700
1641003600000,1/1/22 2:20,31234588700,26823016400,26745049100,26368510000,11318002700,10678772700,26352461800,27192141800,26247847900,31027724300,26848266200,10201544700
1641004800000,1/1/22 2:40,31238017000,26825005100,26743986200,26366810100,11319440400,10681236500,26356250600,27201890300,26247149600,31029717000,26849990700,10202035200
1641006000000,1/1/22 3:00,31238457300,26823807000,26743222300,26364874800,11319842800,10681719800,26344093700,27203115000,26251278300,31029391400,26847838200,10204789800
1641007200000,1/1/22 3:20,31242412000,26824650800,26750625800,26358194200,11321553900,10683732000,26347515900,27199883300,26255024100,31031894000,26843721700,10206575600
1641008400000,1/1/22 3:40,31243937800,26825357300,26756405200,26361724900,11323941900,10683473900,26349688800,27198625800,26252714000,31033624600,26845401100,10208112600
1641009600000,1/1/22 4:00,31241699300,26829996000,26756417500,26361567200,11324520400,10685962200,26350415900,27201071100,26252017700,31035449300,26848114700,10209399800
1641010800000,1/1/22 4:20,31245938700,26826942500,26755958800,26371766300,11323162600,10684783600,26343931900,27195658200,26257623000,31035285500,26845925400,10211029000
1641012000000,1/1/22 4:40,31758604300,26829498400,26758144000,26371383300,11330868200,10688181200,26344912900,27195588600,26257068000,31036475400,26849151000,10212687900
1641013200000,1/1/22 5:00,31702450200,26826850300,26758199300,26369822700,11332016100,10688244700,26346453000,27200645100,26259978200,31044173800,26851485700,10213077000
1641014400000,1/1/22 5:20,31700455400,26823424000,26753974300,26366511100,11333067800,10690703400,26347284500,27201284100,26262743000,31040262100,26851430400,10215808000
1641015600000,1/1/22 5:40,32491518000,26835701800,26760015900,26366117900,11338197000,10712315900,26350155800,27202750500,26275303400,31043788800,26863386600,10237939700
1641016800000,1/1/22 6:00,32915533800,26845106200,26774913000,26370353200,11342397400,10750906400,26348544000,27212519400,26313742300,31022059500,26918780900,10238223400
1641018000000,1/1/22 6:20,32875784200,26834987000,26776410100,26370863100,11341955100,10750302200,26344536100,27216556000,26314035200,31022270500,26918287400,10239236100
1641019200000,1/1/22 6:40,32742260700,26837731300,26771669000,26368190500,11339740200,10750923800,26347018200,27211761700,26316326900,31025967100,26848933900,10240984100
1641020400000,1/1/22 7:00,32707223600,26840412200,26776373200,26381658100,11343263700,10754312200,26349015000,27215693800,26322456600,31024582700,26859937800,10242378800
1641021600000,1/1/22 7:20,32699277300,26847742000,26778968100,26381830100,11344142300,10752947200,26351593500,27215796200,26322430000,31032102900,26857857000,10242966500
1641022800000,1/1/22 7:40,32652302300,26854307800,26793099300,26382493700,11336952800,10752739300,26364856300,27214868500,26255894500,31028043800,26857801700,10244521000
1641024000000,1/1/22 8:00,32624810000,26852313100,26785486800,26385215500,11333167100,10755302400,26362337300,27216205800,26262945800,31039834100,26866096100,10246128600
1641025200000,1/1/22 8:20,32528492500,26855759900,26797410300,26388133900,11336545300,10757731300,26379579400,27224258600,26259951600,31037153300,26865692700,10247607300
1641026400000,1/1/22 8:40,32433434600,26865178600,26796202000,26388777000,11338875900,10757937200,26368763900,27226054700,26264680400,31042844700,26875480100,10249078800
1641027600000,1/1/22 9:00,32398577700,26873628700,26799065100,26390151200,11333488600,10758320100,26372071400,27228497900,26263425000,31037669400,26876241900,10250074100
1641028800000,1/1/22 9:20,32352231400,26870966300,26801602600,26394484700,11333779500,10762112000,26378872800,27224895500,26270158800,31040352300,26871433200,10250718200
1641030000000,1/1/22 9:40,32306673700,26876108800,26804009000,26398402600,11334592500,10763231200,26381056000,27219157000,26280099800,31047280600,26881607700,10253123600
