timestamp,timestamp_date_format,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
1646092800000,3/1/22 0:00,32136263700,27178590200,26786525200,26587922400,10506843100,10432094200,26413455400,26490214400,21575972900,26287833100,26572855300,9935634400
1646095200000,3/1/22 0:40,32120830000,27157268500,26735194100,26572177400,10499422200,10426236900,26388889600,26467809300,21564465200,26199056400,26480963600,9934202900
1646097600000,3/1/22 1:20,32118562800,27158485000,26737594400,26574299100,10496520200,10411509800,26387249200,26462873600,21549832200,26201706500,26486624300,9938044900
1646100000000,3/1/22 2:00,32118736900,27159992300,26730352600,26577301500,10497084400,10412726300,26396203000,26460088300,21551364100,26194757600,26430208000,9940487200
1646102400000,3/1/22 2:40,32124592100,27092529200,26735255600,26576732200,10501281800,10415787000,26400362500,26463977500,21553797100,26205638700,26427689000,9942185000
1646104800000,3/1/22 3:20,32126822400,27100426200,26735482900,26572599300,10501933100,10407794700,26393479200,26472796200,21547227100,26209468400,26434834400,9944423400
1646107200000,3/1/22 4:00,32092774400,27101534200,26738292700,26585931800,10507209700,10411181100,26386057200,26467614700,21550839800,26214027300,26437263400,9948022800
1646109600000,3/1/22 4:40,32246728700,27107358700,26753814500,26587191300,10509086700,10414264300,26396053500,26478493700,21553555500,26219337700,26447106000,9950531600
1646112000000,3/1/22 5:20,32222036000,27108362200,26756229100,26589227000,10517810200,10422242300,26400598000,26484475900,21555212300,26223607800,26448998400,9958279200
1646114400000,3/1/22 6:00,32450934800,27131797500,26777368600,26606901200,10520322000,10476659700,26425964500,26429341700,21554647000,26219214800,26502502400,9917657100
1646116800000,3/1/22 6:40,32890927100,27175290900,26787921900,26612965400,10522921000,10429600800,26484797400,26439956500,21591173100,26258069500,26491811800,9919048700
1646119200000,3/1/22 7:20,32786747400,27205650400,26802313200,26690123800,10528388100,10437680100,26505998300,26502092800,21594056700,26287360000,26529534000,9920281600
1646121600000,3/1/22 8:00,32768143400,27259811800,26837200900,26684979200,10560866300,10469012500,26730059800,26524436500,21628360700,26408003600,26569523200,9935544300
1646124000000,3/1/22 8:40,32621064200,27292426200,26866720800,26714576900,10561861600,10485732400,26642597900,26573883400,21648478200,26459367400,26663004200,9948085200
1646126400000,3/1/22 9:20,32465850400,27346511900,26912299000,26720442400,10565369900,10490843100,26980370400,26599723000,21653231600,26468288500,26737956900,9952383000
1646128800000,3/1/22 10:00,32308596700,27358029800,26951286800,26700181500,10582787100,10498090000,27154599900,26608736300,21676136400,26497898500,26796775400,9954466800
1646131200000,3/1/22 10:40,32001181700,27423858700,26978330600,26734612500,10579733500,10494786600,27176806400,26624948200,21676165100,26541318100,27597690900,9968896000
1646133600000,3/1/22 11:20,32492361700,27466334200,26976559100,26729664500,10576587800,10503153700,27099527200,26625189900,21688811500,26581178400,27639226400,9972613100
1646136000000,3/1/22 12:00,32241610800,27330900000,27069241300,26655979500,10584756200,10503127000,27103801300,26613467100,21672874000,26580559900,27601662000,9971750900
1646138400000,3/1/22 12:40,32175085600,27379636200,27080255500,26662654000,10594419700,10504393700,27094419500,26625241100,21714962400,26600697900,27387363300,9992202200
1646140800000,3/1/22 13:20,31932194800,27379468300,27071531000,26686099500,10588900400,10501326800,27101556700,26642620400,21784381400,26593402900,27396929500,9994971100
1646143200000,3/1/22 14:00,31770712100,27603771400,27097464800,26740486100,10612279300,10519780400,27135989800,26665791500,21843509200,26656600100,27410847700,10004698100
1646145600000,3/1/22 14:40,31767228400,27791937500,27322005500,26831609900,10631737300,10539295700,27218800600,26817138700,21972150300,26872795100,27531345900,10004778000
1646148000000,3/1/22 15:20,31339491300,27715160100,27279386600,26770380800,10619122700,10531463200,27176667100,26725187600,22017546200,26720632800,27452063700,10013527000
1646150400000,3/1/22 16:00,31265173500,27718541300,27286622200,27211243500,10636822500,10523960300,27184953300,26770966500,22048024600,26733279200,11085100000,10015564800
1646152800000,3/1/22 16:40,31177578500,27749814300,27285639200,26812770300,10642509800,10521806800,27196518400,26801748000,22241493000,26760405000,21544646700,10024169500
1646155200000,3/1/22 17:20,31119661100,27737370600,27326496800,26800687100,10634279900,10539444200,27290462200,26832128000,22473928700,26790838300,21599379500,10023147500
