timestamp,timestamp_date_format,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
1635724800000,11/1/21 0:00,29949450200,21407180800,21659906000,21045592100,10534134800,10040956900,21279899600,20657801200,20611680300,20597487600,20672659500,9640999900
1635727200000,11/1/21 0:40,29933666300,21387026400,21628274700,21045076000,10518587400,10032248800,21254232100,20635443200,20582230000,20586469400,20639981600,9651331100
1635729600000,11/1/21 1:20,29938235400,21395488800,21635305500,21025083400,10528324600,9981961200,21256656900,20634589200,20586072100,20593868800,20646885400,9651999700
1635732000000,11/1/21 2:00,29933031400,21396451300,21635985400,21025208300,10517204000,9988913200,21260075000,20641660900,20588195800,20596097000,20650473500,9659315200
1635734400000,11/1/21 2:40,29942790100,21402753000,21639542800,20958253100,10479044600,9994155000,21264359400,20647643100,20592453600,20590223400,20658882600,9602765800
1635736800000,11/1/21 3:20,29947189200,21399971800,21645858800,20963756000,10488693800,10005007400,21267703800,20644728800,20596703200,20606019600,20655691800,9615395800
1635739200000,11/1/21 4:00,29944641500,21399205900,21645492200,20964882400,10501904400,10012972000,21269872600,20648962000,20591073300,20607246300,20661698600,9622752300
1635741600000,11/1/21 4:40,29909884900,21413681200,21640390700,20978872300,10509814800,10017592300,21275346900,20651604000,20598452200,20604235800,20665962500,9641226200
1635744000000,11/1/21 5:20,29927843800,21421461500,21656027100,20977453100,10516835300,10015721500,21235902500,20656535600,20598249500,20615260200,20673282000,9652096000
1635746400000,11/1/21 6:00,29940789200,21427613700,21663971300,20997023700,10514177000,10016149500,21232658400,20660467700,20593799200,20597012500,20670349300,9685734400
1635748800000,11/1/21 6:40,29944586200,21437839400,21674242000,20994746400,10521346000,10027301900,21241813000,20673155100,20602585100,20612274200,20668764200,9633130500
1635751200000,11/1/21 7:20,29954043900,21449877500,21686296600,21010104300,10530188300,10032022500,21242126300,20688072700,20611868700,20612993000,20672352300,9641528300
1635753600000,11/1/21 8:00,29958602800,21453013000,21706537000,21009737700,10534540300,10042949600,21247694800,20694480900,20624273400,20646588400,20685557800,9660636200
1635756000000,11/1/21 8:40,29973950500,21444210700,21711874000,21031008300,10549764100,10055133200,21193875500,20713828400,21039505400,20751253500,20697675800,9662999600
1635758400000,11/1/21 9:20,29992665100,21457059800,21723097100,21027432400,10559278100,10063591400,21208801300,20679223300,21047461900,20770033700,20708612100,9677347800
1635760800000,11/1/21 10:00,30069452800,21763235800,21735600100,21041115100,10571940900,10074876900,21218639900,20669470700,21055991800,20779487200,20723982300,9687048200
1635763200000,11/1/21 10:40,30292506600,21814071300,21744400400,21062731800,10597570600,10092806100,21236437000,20673495000,21063487500,20803252200,20751183900,9696963600
1635765600000,11/1/21 11:20,30302990300,21814183900,21741295600,21067862000,10612053000,10117395500,21251481600,20701378600,21094258700,20680599600,20770932700,9745665000
1635768000000,11/1/21 12:00,30308560900,21814802400,21744861200,21069539300,10622583800,10125338600,21251309600,20706474000,21047066600,20687765500,20776083500,9746218000
1635770400000,11/1/21 12:40,30329079800,21826205700,21750573100,21076039700,10630164500,10134863900,21252134900,20721027100,20995866600,20696006700,20777949200,9728426000
1635772800000,11/1/21 13:20,30347505700,21832216600,21757483000,21113792500,10582310900,10142847000,21249177600,20726659100,21008658400,20728543200,20783038500,9730850800
1635775200000,11/1/21 14:00,30355007500,21833646100,21772109800,21146091500,10592230400,10154605600,21258125300,20742465500,21014587400,20734068700,20806041600,9777709100
1635777600000,11/1/21 14:40,30111668200,21844721700,21780910100,21151512600,10590351400,10153928700,21267163100,20745738200,21028823000,20745863200,20808144900,9755335700
