timestamp,timestamp_date_format,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
1633046400000,10/1/21 0:00,29906313200,20146810900,20703907800,19912433700,10608046100,10319649800,20159545300,19900862500,20093687800,17251815400,19566524400,10180439000
1633048800000,10/1/21 0:40,29911785500,20152950800,20707436500,19918434300,10616768500,10329061400,20093106200,19907090400,20100132900,17252823000,19567011800,10188444700
1633051200000,10/1/21 1:20,29851394000,20149841900,20712110100,19922704400,10623627300,10340811800,20104529900,19857008600,20104288300,17258242000,19570430000,10194308100
1633053600000,10/1/21 2:00,29850093600,20154325000,20716064800,19924969500,10570553300,10349984800,20105941000,19851089900,20110964700,17261641700,19575382000,10204287000
1633056000000,10/1/21 2:40,29851643900,20155320300,20719417300,19933343700,10581740500,10368484400,20114829300,19854858200,20112302100,17266835500,19572994000,10206883800
1633058400000,10/1/21 3:20,29853016100,20167168000,20722245600,19935330300,10614590500,10397880300,20114077700,19857244200,20107356200,17279113200,19578857500,10214053900
1633060800000,10/1/21 4:00,29890318300,20173672400,20745429000,19954950100,10652266500,10405180400,20175896600,19884619800,20123500500,17279653900,19585886200,10244208600
1633063200000,10/1/21 4:40,29896013800,20176005100,20745838600,19965407200,10666546200,10422674400,20185718800,19886256100,20124330000,17284620300,19599470600,10248092700
1633065600000,10/1/21 5:20,29909536800,20189773800,20753152000,19965118500,10723270700,10420451300,20125347800,19899461600,20126242800,17269139500,19596171300,10263857200
1633068000000,10/1/21 6:00,30004117500,20237035500,20819636200,19989739500,10736912400,10417401900,20166780900,19966742500,20181702700,17423083500,19617859600,10287371300
1633070400000,10/1/21 6:40,30055335900,20339972100,20834787300,20021710800,10753868800,10435487700,20184848400,20006873100,20219187200,17474089000,19913089000,10301513700
1633072800000,10/1/21 7:20,30124851200,20394332200,20877068300,20090538000,10768005100,10460904400,20267716600,20080500700,20241274900,17639288800,19672942600,10301410300
1633075200000,10/1/21 8:00,30152790000,20411834400,20900169700,20125255700,10744786900,10423131100,20281897000,20086120400,20288464900,17702774800,19701667800,10144954400
1633077600000,10/1/21 8:40,30164664300,12727203800,20968822800,20166709200,10703037400,10426013700,20417894400,20124252200,20300419100,17745596400,19776534500,10166072300
1633080000000,10/1/21 9:20,30199056400,16851815400,20936831000,20207222800,10730006500,10448465900,20328642600,20166725600,20363665400,18044293100,19799695400,10173101100
1633082400000,10/1/21 10:00,31209289700,17292148700,21009623000,20059324400,10689584100,10470192100,20356665300,20182863900,16117565400,18261600300,20015761400,10229178400
1633084800000,10/1/21 10:40,31143182300,17358843900,20999487500,20234829800,10778553300,10415851500,20360548400,20198176800,16732108800,18303199200,20028190700,10239972400
1633087200000,10/1/21 11:20,31129790500,17365098500,20948760600,20228632600,10820217900,10519739400,20338178000,20186591200,16774980600,18308122600,20016050200,10258314200
1633089600000,10/1/21 12:00,31145971700,17393102800,20943882200,20239999000,10818085900,10479467500,20358924300,20207968300,16925890600,18333851600,20011747300,10284261400
1633092000000,10/1/21 12:40,31179509800,17072064500,20955250700,20284874800,10830277600,10506080300,20380201000,20228204500,16984930300,18414473200,20039213100,10299215900
