timestamp,timestamp_date_format,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
1630454400000,9/1/21 0:00,28654895100,14125291500,21181954000,20288079900,11388170200,10933883900,20168798200,13929413600,20135858200,20591759400,21341210600,10797959200
1630456800000,9/1/21 0:40,28663169000,14129793000,21186381800,20286253100,11400177700,10941462500,20170598400,13934308400,20137424900,20597698600,21350443000,10805733400
1630459200000,9/1/21 1:20,28656252900,14131812400,21203513300,20280741900,11402941400,10948538400,20180944900,13928627200,20143865900,20604575700,21360582700,10802205700
1630461600000,9/1/21 2:00,28660074500,14133050400,21193508900,20282873900,11405730800,10950765600,20170584100,13929489400,20150087700,20605644800,21363490800,10809757700
1630464000000,9/1/21 2:40,28659916800,14135545900,21210994700,20283043800,11453953000,10987774000,20172597200,13933669400,20166068200,20613042200,21379282900,10825092100
1630466400000,9/1/21 3:20,28665727000,14136966100,21203189800,20296017900,11484020700,10990499800,20187007000,13943402500,20164900900,20621865000,21384689700,10843920400
1630468800000,9/1/21 4:00,28730150900,14154123300,21207717900,20265068500,11494182900,11021641700,20189376500,13953544200,20158011400,20627607600,21389301800,10881586200
1630471200000,9/1/21 4:40,28730150900,14151197700,21229903900,20262434800,11497541600,11021641700,20190140400,13956408300,20193968100,20623949800,21391970300,10884877300
1630473600000,9/1/21 5:20,28701003800,14151580700,21232500700,20270815200,11504932900,11020943400,20227670000,13971017700,20218030100,20634652700,21400363000,10890397700
1630476000000,9/1/21 6:00,28699988000,14162401300,21249581100,20268595200,11507141600,11012624400,20230017000,13978434600,20203923500,20641935400,21413359600,10896140300
1630478400000,9/1/21 6:40,28703207400,14182910000,21268015100,20286081000,11518712800,10995879900,20222597100,13980477400,20237551600,20647127000,21422846000,10894881800
1630480800000,9/1/21 7:20,28780159000,14173972500,21299652600,20335947800,11529735200,11014737900,20236781600,14015029200,20319963100,20712372200,21466671100,10853924900
1630483200000,9/1/21 8:00,28887666700,14180114400,21368895500,20435955700,11559144400,11008925700,20322246700,14087869400,20400111600,20823918600,21571608600,10885219300
1630485600000,9/1/21 8:40,28966576100,14195705900,21440477200,20533874700,11563966500,11019681800,20377495600,14167789600,20498231300,20905048100,21646962700,10874574800
1630488000000,9/1/21 9:20,29005938700,14214169600,21523390500,20634564600,11567388700,11018985500,20470143000,15537098800,20573069300,20943654900,22534461400,10882226200
1630490400000,9/1/21 10:00,29011636200,14216976400,21564323800,20668235800,11592284200,11026964500,20484386800,16503298000,20487491600,22058594300,22510247900,10895012900
1630492800000,9/1/21 10:40,29020112900,14221598700,21584787500,20676972500,11592284200,11025916900,20484743200,16705439700,20501393400,22058594300,22489688100,10898435100
1630495200000,9/1/21 11:20,28994703400,14225777700,21566697500,20677120000,11600008200,11027388400,20505608200,16600752100,20485638100,22229649400,22290634800,10912456700
1630497600000,9/1/21 12:00,29005269000,14231193600,21508042800,20593897500,11616139300,11039392800,20456386600,16569096200,20506538000,22204299300,22283161600,10914655200
1630500000000,9/1/21 12:40,29068042200,14233416700,21518420000,20628183000,11588176900,11051467800,20457537500,16602244100,20433995800,22113380400,22287294500,10936885200
1630502400000,9/1/21 13:20,29105602600,23456559100,21555710000,20706750500,11594128400,11063963600,20515145700,16677073900,20392142800,22084059100,22313834500,10947744800
1630504800000,9/1/21 14:00,29089382400,23448950800,21569714200,20772816900,11593002000,11083891700,20535230500,16746842100,20399679500,22115209200,22349588500,10950577200
1630507200000,9/1/21 14:40,26694481900,23454140400,21602234400,20741965800,11597796400,11080600600,20545314800,17001449500,13953112100,22132965400,22404722700,10970859500
1630509600000,9/1/21 15:20,28709896200,23448948700,21591877600,20751683600,11607534600,11088378900,20582545400,16979125200,18516373500,22213001200,22440233000,10988361700
1630512000000,9/1/21 16:00,29121577000,23461267500,21576847400,20751249400,11617393700,11089828900,20573446100,16695685100,18085134300,22227636200,22466342900,10994832400
1630514400000,9/1/21 16:40,28731090900,23472046100,21590804500,20785387500,11648971800,11103742000,20579733500,16701381600,18097791000,22252816400,22411642900,11011951600
1630516800000,9/1/21 17:20,28753098800,23450128400,21567780900,20708386800,11638595600,11097404400,20563292200,16656878600,18040266800,22190045200,22320773100,10998767600
1630519200000,9/1/21 18:00,28746090500,23410835500,21516834800,20697133100,11661177900,11112724500,20589312000,16621908000,18054398000,22080661500,22317338600,11013087200
1630521600000,9/1/21 18:40,17657972700,13674546200,15881593900,12719984600,4516687400,9268591600,15712642000,16597937200,18087280600,22073380900,22305810400,11026342900
