timestamp,timestamp_date_format,B1,B2,B3,B4,B5,B6,B7,B8
1648771200000,4/1/22 0:00,17,19,16,16,17.866667,85.64333,19,19
1648773000000,4/1/22 0:30,17.48889,19,17.377777,16,17,85,19,19
1648774800000,4/1/22 1:00,19,19,18,16,17,84.64333,19,19
1648776600000,4/1/22 1:30,19,19,18,16,17.133333,84.35667,19.928888,19.153334
1648778400000,4/1/22 2:00,19,19,18,16.911112,18,85,18.142221,20
1648780200000,4/1/22 2:30,19,19.466667,18,17,18,84.64333,18,19.846666
1648782000000,4/1/22 3:00,19,20,18,17,18,85.42667,18,19
1648783800000,4/1/22 3:30,19,20,18,17,18.133333,88,18,19
1648785600000,4/1/22 4:00,19,20,18,17,19,88,18,19
1648787400000,4/1/22 4:30,19.244444,20,18,17,19,87.64333,18,19
1648789200000,4/1/22 5:00,19.755556,20,18,17,19.266666,87.35667,18,19
1648791000000,4/1/22 5:30,19,20,18.688889,18.822222,21,88,18,19.306667
1648792800000,4/1/22 6:00,19,20,20.377777,19.911112,21.8,88,20.786667,21.613333
1648794600000,4/1/22 6:30,19.48889,20,25.822222,25.466667,29,88,28.43111,26.993334
1648796400000,4/1/22 7:00,20.266666,20,39.02222,37.844444,43.733334,88,42.004444,39.84
1648798200000,4/1/22 7:30,18.48889,20,48.822224,48.11111,54.866665,88,53.217777,50.46
1648800000000,4/1/22 8:00,20,20,52.377777,50.822224,54.533333,88,54,53.306667
1648801800000,4/1/22 8:30,19.51111,20,55.066666,51,58.266666,88,55.857777,55
1648803600000,4/1/22 9:00,18,20,54.622223,51.91111,60.4,87.64333,57.857777,55.306667
1648805400000,4/1/22 9:30,18,20,55.377777,53.822224,62.733334,87.35667,61.715557,56.84667
1648807200000,4/1/22 10:00,18,20,56,54,60.733334,87.64333,60.142223,55.233334
1648809000000,4/1/22 10:30,18,20,52.555557,54,58.466667,87.35667,56.284443,50.233334
1648810800000,4/1/22 11:00,18,20,50.31111,54.91111,54.866665,88,54.142223,46
1648812600000,4/1/22 11:30,18.244444,20,45.866665,50.444443,53.6,88,49.355556,45.84667
1648814400000,4/1/22 12:00,19,20,36.422222,45.444443,51.133335,88,49.92889,45.15333
1648816200000,4/1/22 12:30,19,20,40.577778,48.644444,52.666668,87.64333,51.857777,46.92
1648818000000,4/1/22 13:00,18.755556,20,48.133335,52.644444,57.133335,87.35667,55.715557,52.306667
1648819800000,4/1/22 13:30,18.244444,20,49.31111,53.91111,58.4,87.64333,57.857777,54.613335
1648821600000,4/1/22 14:00,19,20,50.377777,56.733334,61,86.28667,61.715557,57.84667
1648823400000,4/1/22 14:30,20.156666,19.199444,50.977222,56.017776,59.128887,85,58.726665,56.956665
1648825200000,4/1/22 15:00,19.843334,19,49.886112,52.017776,56.532223,84.30945,59.636665,55.783333
1648827000000,4/1/22 15:30,19.578333,19,44.840557,47.52667,55.532223,84,52.635,50.87
1648828800000,4/1/22 16:00,20,19,37.703888,39.807777,47.515556,84,42.816666,47.696667
1648830600000,4/1/22 16:30,19.421667,19,24.863333,28.526667,35.25778,84,31.18,40.566666
1648832400000,4/1/22 17:00,19,19,19.022778,23.263334,28.661112,84,27.363333,30.913334
1648834200000,4/1/22 17:30,17.843334,19,20.022778,21,25.532223,84,27,28.826666
1648836000000,4/1/22 18:00,17,19,20.931667,20.508888,22.193333,84,23.726667,24.74
1648837800000,4/1/22 18:30,17,19,18,18.508888,18.064444,84,20.545,19
1648839600000,4/1/22 19:00,17,19,18,17,17,84,20,19
1648841400000,4/1/22 19:30,17,19,17.954445,17,17,84,20,19
1648843200000,4/1/22 20:00,17,19,16,17,17,84,20,19
1648845000000,4/1/22 20:30,17,19,16.045555,17,17,84,20,19
1648846800000,4/1/22 21:00,17,19,17.977222,17,17,84,20,19.043333
1648848600000,4/1/22 21:30,17.578333,20.60111,17,17,17.467777,84,20,20
1648850400000,4/1/22 22:00,18,20.199444,17,17,18,83.30945,20,20
1648852200000,4/1/22 22:30,18,20,17,17,18,84.38111,20,20
1648854000000,4/1/22 23:00,18,20,17,17.245556,18,85,20,20
1648855800000,4/1/22 23:30,18,20,17,18,18,85.69055,20,20
1648857600000,4/2/22 0:00,18,20,17,18,18,85.30945,21.635555,20
1648859400000,4/2/22 0:30,18,20,17,18,18,85.69055,20.364445,20
1648861200000,4/2/22 1:00,18,20,17,18,18,85.30945,20,20.086666
1648863000000,4/2/22 1:30,18,20,17,17.754444,18.467777,85,21.635555,21.956667
1648864800000,4/2/22 2:00,18,20,17,17.245556,19,85,22,21.043333
1648866600000,4/2/22 2:30,18.578333,20,17.022778,18.245556,19,85,22,21.956667
1648868400000,4/2/22 3:00,19,23.202223,17.977222,19,19.467777,87.07166,22,21
1648870200000,4/2/22 3:30,19,22.39889,17,19,19.532223,88,22,21
1648872000000,4/2/22 4:00,19,22,17,19,19.467777,88,22,21
1648873800000,4/2/22 4:30,19,22,17,19,19.532223,88,21.182222,21
1648875600000,4/2/22 5:00,19,22,17,19,19.467777,88,21,21
1648877400000,4/2/22 5:30,19,22,17,19,20,88,21.817778,21
1648879200000,4/2/22 6:00,19,22,17,19,20,88,21.182222,21
1648881000000,4/2/22 6:30,19,22,17.022778,19,19.532223,88,20.182222,21
1648882800000,4/2/22 7:00,19,22,18.045555,19.491112,20.87111,88,21.635555,21.043333
1648884600000,4/2/22 7:30,19,22,20,21,23,88,22,22
1648886400000,4/2/22 8:00,19,22,20,21.245556,23,88,23.635555,22.086666
1648888200000,4/2/22 8:30,19,22,20.022778,22,23,88,23.182222,23.956667
1648890000000,4/2/22 9:00,19,22,20.977222,22,23,88,22.182222,23
1648891800000,4/2/22 9:30,19,22,20,22,23,88,22,22.913334
1648893600000,4/2/22 10:00,19,22,20,22,22.532223,88,22.817778,20.956667
1648895400000,4/2/22 10:30,19,22,19.977222,22,22,88,22.182222,20
1648897200000,4/2/22 11:00,19,22,19,21.754444,22,87.30945,22,20
1648899000000,4/2/22 11:30,19,22,19,21,22,87.69055,22,20.086666
1648900800000,4/2/22 12:00,19,22,19.045555,21,22,88,22.817778,21.913334
1648902600000,4/2/22 12:30,19,22,20.977222,21,22,87.30945,23,20
1648904400000,4/2/22 13:00,19,22,20,21,22,87,23,20
1648906200000,4/2/22 13:30,19,22,20,21,22,87,23,20.086666
1648908000000,4/2/22 14:00,19,22,20,21,22,87.69055,21.364445,22
1648909800000,4/2/22 14:30,19,22.800556,19.977222,21,22,87.30945,21.818333,22
1648911600000,4/2/22 15:00,19,23,18.977222,20.508888,21.064444,87.69055,20.363333,21.956667
1648913400000,4/2/22 15:30,19,23,18,19.245556,19.532223,88,20,21
1648915200000,4/2/22 16:00,19,23,18,20,19,88,20,21
1648917000000,4/2/22 16:30,19,23,18,20,19,88,20,21
1648918800000,4/2/22 17:00,19,23,18,20,19,88,20,21
1648920600000,4/2/22 17:30,19,23,18,19.754444,19,88,20,20.956667
1648922400000,4/2/22 18:00,19,23,17.977222,19,19,87.30945,20,20
