timestamp,timestamp_date_format,B1,B2,B3,B4,B5,B6,B7,B8
1638316800000,12/1/21 0:00,21,22,21,20.889444,21,31,21,18
1638318600000,12/1/21 0:30,21,22,21,21,21,31,21.045,18
1638320400000,12/1/21 1:00,21,22.557777,21,21,21,31,22,20.771667
1638322200000,12/1/21 1:30,21,25.721111,22.543333,21,21,31,22,19.152222
1638324000000,12/1/21 2:00,21,24,22.971111,21,21,31,22,19
1638325800000,12/1/21 2:30,21,24,22,21,21,31.048334,22,19
1638327600000,12/1/21 3:00,21.76389,23.860556,22,21.889444,21,34,22,19
1638329400000,12/1/21 3:30,22,22.860556,22,22,21,34,22,18.07611
1638331200000,12/1/21 4:00,22.76389,22,22,22,21,34,22.045,20.771667
1638333000000,12/1/21 4:30,22.23611,22,22,22.889444,21,34,23,20.07611
1638334800000,12/1/21 5:00,22,22.278889,22,22.110556,21.264444,34,23,18.152222
1638336600000,12/1/21 5:30,22,24,22,22,22,34,23,18
1638338400000,12/1/21 6:00,22,24,23.028889,22,22.528889,33.98389,23.09,18
1638340200000,12/1/21 6:30,22,24.557777,23.485556,24.668333,24.528889,33.01611,25.09,19.847778
1638342000000,12/1/21 7:00,22.76389,28.557777,25.572222,27.668333,27.057777,34,27.315,23.695555
1638343800000,12/1/21 7:30,23,33.81278,33.144444,34.226112,33.173332,34,34.63,28.619444
1638345600000,12/1/21 8:00,22.23611,46.95222,46.23111,51.01,45.966667,34,48.36,43.782223
1638347400000,12/1/21 8:30,25.055555,59.697224,55.543335,58.336666,58.057777,34,56.27,54.238888
1638349200000,12/1/21 9:00,25.23611,63.860554,57,59.889446,60.735554,34,62,57.771667
1638351000000,12/1/21 9:30,23.472221,63,59.057777,62.668335,60.52889,34,62.045,58
1638352800000,12/1/21 10:00,23.76389,63,61.514446,62.110554,61.735554,34.01611,63.045,58.92389
1638354600000,12/1/21 10:30,24,63,62,65.55778,61.793335,34.98389,64.09,58.07611
1638356400000,12/1/21 11:00,24,63.139446,61.485554,64.22111,62.677776,34,65.73,58.92389
1638358200000,12/1/21 11:30,21.708334,63.581665,60.485554,61.331665,59,34,59.91,56.228333
1638360000000,12/1/21 12:00,21.76389,60.302776,60,60.110554,58.735554,34,57.955,55.07611
1638361800000,12/1/21 12:30,21.23611,56.139446,58.97111,58.22111,57.47111,34,57,55
1638363600000,12/1/21 13:00,21,57.557777,59.02889,58.889446,57.057777,34,57.27,53.15222
1638365400000,12/1/21 13:30,21,61.418335,62.057777,63.447224,61.057777,34,63,58.543335
1638367200000,12/1/21 14:00,21,64.13944,64,63.110554,64.26444,34,63.18,59.92389
1638369000000,12/1/21 14:30,21.76389,65.13944,65.02889,66.55778,64.73556,34,67,62.771667
1638370800000,12/1/21 15:00,21.23611,65.86056,64.456665,63.442223,63.735554,34,67,60.228333
1638372600000,12/1/21 15:30,21,63.22222,63.52778,63.639446,62.98611,34,68.58889,61.34667
1638374400000,12/1/21 16:00,21.51389,63.88889,64.208336,60.163334,61.944443,31.703333,65.82222,59.98
1638376200000,12/1/21 16:30,22,55.11111,61.47222,55.442223,57.833332,31,58.644444,56.306667
1638378000000,12/1/21 17:00,21.48611,49.555557,54.72222,48.884445,45.805557,31,48.261112,46.92
1638379800000,12/1/21 17:30,21,37.444443,38.680557,40.245,31.944445,31,38.85,36.266666
1638381600000,12/1/21 18:00,21,31.555555,33.944443,35.081665,27.98611,31,34.616665,28.96
1638383400000,12/1/21 18:30,21,26.555555,29.680555,30.802778,27,31,32.41111,24.306667
1638385200000,12/1/21 19:00,21,26,25.472221,29,26.972221,31,31.205555,21.653334
1638387000000,12/1/21 19:30,21,23.333334,23.472221,24.52389,24.98611,31,23.055555,19.653334
1638388800000,12/1/21 20:00,21,23,21.73611,22,23.958334,31,21,19
1638390600000,12/1/21 20:30,21,24.777779,21,22,21,31,21,19
