timestamp,timestamp_date_format,B1,B2,B3,B4,B5,B6,B7,B8
1643673600000,2/1/22 0:00,26,30.555555,30.886667,31,27,34.36222,29,31
1643675400000,2/1/22 0:30,26.13611,32.488888,31,31,27,34,29,28.305555
1643677200000,2/1/22 1:00,27.272223,33.02222,30.113333,31,27,34.63778,29,26
1643679000000,2/1/22 1:30,28.727777,35.02222,30,31.261667,27,35,29.910555,26
1643680800000,2/1/22 2:00,27,34.97778,30,32,27,34.36222,29.089445,27.077778
1643682600000,2/1/22 2:30,27,34,30,32,27,36.55111,29.910555,28
1643684400000,2/1/22 3:00,27,34,30,32,28.273333,38,29.089445,28
1643686200000,2/1/22 3:30,27,34,31.773333,32,29,38,29,28
1643688000000,2/1/22 4:00,27,31.444445,32,32.261665,29,38,30.821112,27.461111
1643689800000,2/1/22 4:30,27,29,31.113333,33,29,38,31,27
1643691600000,2/1/22 5:00,27,29,31,33,29,38,30.089445,27
1643693400000,2/1/22 5:30,27,30.022223,31,33,29,38,30.910555,27
1643695200000,2/1/22 6:00,27,31,29.226667,33,29,38,31,27
1643697000000,2/1/22 6:30,27,31,31.66,33.523335,29,38,31,27
1643698800000,2/1/22 7:00,27.13611,33.044445,32.886665,35.785,31.546667,37.36222,32.82111,29.155556
1643700600000,2/1/22 7:30,27.86389,39.08889,39.206665,41.14,38.73,37,38.463333,35.85
1643702400000,2/1/22 8:00,27,51.177776,51.52667,52.616665,51.55,37.63778,52.658333,48.083332
1643704200000,2/1/22 8:30,27,61.044445,59.206665,62.355,60.82,37.36222,58.552776,58.77222
1643706000000,2/1/22 9:00,27,64.53333,64.433334,69.52333,63.636665,37.63778,62.642223,63.077778
1643707800000,2/1/22 9:30,27,67.022224,65.886665,70.47667,65.27333,38,64.82111,64.53889
1643709600000,2/1/22 10:00,27,68,66,69.785,66.636665,37.36222,65.91055,65
1643711400000,2/1/22 10:30,27.272223,69.53333,67.77333,72.261665,67.636665,37,66,66.077774
1643713200000,2/1/22 11:00,28.86389,68.95556,65.34,73,67.363335,37,65.08945,65.38333
1643715000000,2/1/22 11:30,28.13611,68.022224,65,71.168335,65.72667,37.63778,65,62.383335
1643716800000,2/1/22 12:00,29,65.933334,65,64.691666,64.363335,38,60.447224,58.305557
1643718600000,2/1/22 12:30,28.86389,60.955555,63.226665,61,60.816666,38,59.089443,56
1643720400000,2/1/22 13:00,28.13611,61.555557,62.113335,62.831665,60.91,37.36222,60.82111,59.233334
1643722200000,2/1/22 13:30,28.86389,64.51111,64.66,68.52333,63.91,37.63778,63.731667,63.077778
1643724000000,2/1/22 14:00,27.86389,66.53333,66.77333,70.52333,66.91,38,65.82111,65.61667
1643725800000,2/1/22 14:30,27,70.04444,69.66,72,69.27333,38,68.73167,67
1643727600000,2/1/22 15:00,27,71.48889,70,73.04667,69.363335,38,69.91055,68.61667
1643729400000,2/1/22 15:30,27.468334,69.61889,72.738335,75.73,70.07166,35.591667,70.71167,69.507774
1643731200000,2/1/22 16:00,27.531666,68.30945,70.261665,73.73,69.85667,35,69.57667,67.03111
1643733000000,2/1/22 16:30,27,63.856667,63.610554,70.92,63.499443,35,66.865,60.57
1643734800000,2/1/22 17:00,27,56.475555,55.697777,62.11,53.99889,35,54.613335,52.554443
1643736600000,2/1/22 17:30,27.468334,49.16611,48.610554,48.11,43.928333,35,44.306667,43.585556
1643738400000,2/1/22 18:00,28.936666,40.094444,41.610554,36,40.928333,35,36.306667,35.538887
1643740200000,2/1/22 18:30,28.595,36.309444,35.523335,35.73,38.642776,35,34,32.015556
1643742000000,2/1/22 19:00,27,36,31.348888,33.595,36.57111,35,31.153334,29.523333
1643743800000,2/1/22 19:30,27,33.237778,29.174444,31,34,34.197224,28.576666,29.476667
1643745600000,2/1/22 20:00,27,32,28.23,31,32.713333,34,28,29.252777
1643747400000,2/1/22 20:30,27,30.904444,27.23,28.023333,27.785555,34,26.862223,26
1643749200000,2/1/22 21:00,27,30.547777,27,28,27,34.66,26,26
1643751000000,2/1/22 21:30,27.651112,31,27,28,27,34.34,26.56889,25.650555
1643752800000,2/1/22 22:00,29.325556,30.452223,27,27.007778,27.214445,34,27,25.349445
1643754600000,2/1/22 22:30,29.348888,30.547777,27,27,27.785555,34.66,26.43111,26
1643756400000,2/1/22 23:00,27.674444,31.547777,27,27.992222,27,34.34,26.56889,26
1643758200000,2/1/22 23:30,27,31.452223,27.77,28.992222,27,34,27,26
1643760000000,2/2/22 0:00,27,31,27.23,32.968887,27,34.66,27,28.795555
1643761800000,2/2/22 0:30,27,31,27,33,27,35,27,31.204445
1643763600000,2/2/22 1:00,27,32.095554,27,33,27,35,27,26.698889
1643765400000,2/2/22 1:30,27,31.904444,27,28.038889,27,35,27,28
1643767200000,2/2/22 2:00,27,31,27,26.015556,27,34.34,27,28
1643769000000,2/2/22 2:30,27.325556,31,28.54,26,27,34,27,28
1643770800000,2/2/22 3:00,28.325556,31,29,26.992222,27.428888,34.66,27,27.650555
1643772600000,2/2/22 3:30,29,32.095554,29,27,29,35,27,27
1643774400000,2/2/22 4:00,28.674444,33,29,26.007778,29,35,27,27
1643776200000,2/2/22 4:30,28,33,29,26.992222,29,35,27.56889,27
1643778000000,2/2/22 5:00,28,33,29,27,29,36.98,28,27
1643779800000,2/2/22 5:30,28,33,29,27,29,38,28,27
1643781600000,2/2/22 6:00,28,33.54778,27.46,27,29,37.34,28,27
1643783400000,2/2/22 6:30,28,34,28.54,27,29.428888,35.68,28,27
1643785200000,2/2/22 7:00,28.325556,36.738888,32.08,30.96889,32.286667,35,31.413334,29.446112
1643787000000,2/2/22 7:30,29,43.38222,40.7,39.93,39.573334,35,39.68889,37.145
1643788800000,2/2/22 8:00,29,54.121113,53.78,52.898888,51.35889,35,52.533333,47.542778
1643790600000,2/2/22 8:30,29.325556,62.738888,61.62,61.93,60.857777,34.34,62.413334,57.747223
1643792400000,2/2/22 9:00,30,63.904446,65.31,67.95333,64.64333,34,66.13778,61.69889
1643794200000,2/2/22 9:30,29.348888,64.09556,67.54,68,67.64333,34.66,68.13778,63.349445
1643796000000,2/2/22 10:00,27.674444,66.09556,68,69.98444,70.42889,35,69,64.69889
1643797800000,2/2/22 10:30,27,67.547775,69.54,68.01556,71.78555,35,70.13778,66.69889
1643799600000,2/2/22 11:00,27.325556,65.26111,71.54,68,69.92778,35,69.293335,66.60222
1643801400000,2/2/22 11:30,28.325556,63.54778,67.38,67.007774,65.14222,35,66.293335,62.951668
1643803200000,2/2/22 12:00,28.674444,60.713333,63.69,62.038887,62.643333,35,63.86222,61
1643805000000,2/2/22 12:30,28.651112,56.904446,63.77,62,63.927776,35,62.43111,59.252777
1643806800000,2/2/22 13:00,30,57.095554,63.23,59.023335,60.42889,35,61.43111,57.747223
1643808600000,2/2/22 13:30,29.348888,59.643333,66.85,64.95333,63.072224,35,63.844444,61.349445
1643810400000,2/2/22 14:00,27.674444,62.643333,69.54,66.98444,67.21445,35,68.844444,63.048332
1643812200000,2/2/22 14:30,27,64.547775,70.77,67,68,35,69.293335,65
1643814000000,2/2/22 15:00,27,66.09556,70.23,67,68.64333,35,70.27556,63.951668
1643815800000,2/2/22 15:30,26.42,64.59333,69.87778,66.50667,69.59333,35,68.994446,63.52667
1643817600000,2/2/22 16:00,26.58,62.395557,64.92667,64.50667,66.12444,35,66.39889,65.236664
1643819400000,2/2/22 16:30,27,56.384445,61.853333,61.273335,62.124443,35,64.19666,59.038334
1643821200000,2/2/22 17:00,28.16,46.97778,55.706665,53.04,52.497776,35,56.988888,47.183334
1643823000000,2/2/22 17:30,27.84,41.79111,43.90222,41.78,41.655556,35,48.191113,37.565
1643824800000,2/2/22 18:00,27,36.988888,39.95111,34.753334,37.593334,35,41.393333,32
1643826600000,2/2/22 18:30,26.42,33.593334,37.95111,34,36,35,37.196667,32
