timestamp,timestamp_date_format,B1,B2,B3,B4,B5,B6,B7,B8
1640995200000,1/1/22 0:00,24,29.362223,28.012777,27,29.763334,35,26.416111,23
1640997000000,1/1/22 0:30,24,29,28.987223,27,31.526667,34.485554,27,23
1640998800000,1/1/22 1:00,24.262777,29,28,27.775555,32,34,26.583889,23
1641000600000,1/1/22 1:30,25.262777,29,28,29,32,32.456665,26,23
1641002400000,1/1/22 2:00,25.737223,29.637777,28,29,32,31,26,23
1641004200000,1/1/22 2:30,25.262777,30,28,29,30.473333,31,26,23.088888
1641006000000,1/1/22 3:00,26,30,28,29,30,31,26,25
1641007800000,1/1/22 3:30,26,30,28,29,30,32.543335,26,25
1641009600000,1/1/22 4:00,26,30,28.012777,29,30,34,26,25
1641011400000,1/1/22 4:30,26,30,29,29,30,34,26.832222,25
1641013200000,1/1/22 5:00,26,30,29.012777,29,30,34,28,25
1641015000000,1/1/22 5:30,26,30,30,29,30,34,28,24.955555
1641016800000,1/1/22 6:00,26,30,29.987223,29,30,34,28,23.955555
1641018600000,1/1/22 6:30,26,30,29,29,30,34,28,23
1641020400000,1/1/22 7:00,26,30,29.012777,29,30,34,28,23
1641022200000,1/1/22 7:30,26,30,30,29,30,34,28,23
1641024000000,1/1/22 8:00,26,30,29.987223,29,30,34,28,23
1641025800000,1/1/22 8:30,26,31.275555,29.038334,29,30,34,28,23
1641027600000,1/1/22 9:00,26,32,31.961666,29,30,34,28,23
1641029400000,1/1/22 9:30,26,32,29,29,30,34,28,23
1641031200000,1/1/22 10:00,26,30.724445,28.987223,29,30,34,28,23
1641033000000,1/1/22 10:30,25.737223,30,28,28.224445,30,34,28,23
1641034800000,1/1/22 11:00,25,30,28,27,30,34,27.583889,23
1641036600000,1/1/22 11:30,25,30,28,27,30,34,27.416111,23
1641038400000,1/1/22 12:00,25,30,28,27,30,34,28,23
1641040200000,1/1/22 12:30,25,30,28,27,30,34,28,23
1641042000000,1/1/22 13:00,25,30,28,27,30,34,28,23
1641043800000,1/1/22 13:30,25,30,28,27,30,34,28,23
1641045600000,1/1/22 14:00,25,30,28,27,30,34,27.583889,23
1641047400000,1/1/22 14:30,25,30,28,27,30,34,27.416111,23
1641049200000,1/1/22 15:00,25,28.724445,28,27,30,34,28,23
1641051000000,1/1/22 15:30,25,28,28,27,30,34,28,23
1641052800000,1/1/22 16:00,25,28,28,27,30,34,28,23
1641054600000,1/1/22 16:30,25,28,28,27,30,34,28,23
1641056400000,1/1/22 17:00,25,28,28,27,30,34,28,23
1641058200000,1/1/22 17:30,25,28,28,27,30,34,28,23
1641060000000,1/1/22 18:00,25,28,28,27,30,34,27.083889,23
1641061800000,1/1/22 18:30,25,28,28,27,29.736666,34,27.916111,23
1641063600000,1/1/22 19:00,25,28.275555,28,27,29,34,28,23
1641065400000,1/1/22 19:30,25,29.724445,28,27,29,34,28,23
1641067200000,1/1/22 20:00,25,28,28,27,29,34,28,23
1641069000000,1/1/22 20:30,25,28,28,27,29,34,28,23
1641070800000,1/1/22 21:00,25,28,28,27,29,34,28,23
1641072600000,1/1/22 21:30,25,28,27.487223,27,29,34,26.167778,23
1641074400000,1/1/22 22:00,25.762777,28,27,27,29,33.985554,26,23
1641076200000,1/1/22 22:30,26,28,27.512777,27,29,33.02889,29.664444,23
1641078000000,1/1/22 23:00,26,28,27.487223,27,29,35,30,23
1641079800000,1/1/22 23:30,26,28.137777,27.512777,29.665,29,35,30,23
1641081600000,1/2/22 0:00,26,28.862223,28,30,29,35.014446,29.083889,23
1641083400000,1/2/22 0:30,26,28,28,27.335,29,35.985554,26.251667,23
1641085200000,1/2/22 1:00,26,28,28,27,29.526667,35,26.916111,24.635
1641087000000,1/2/22 1:30,24.474445,28,29.025555,27,31.263334,35,26.083889,24.91
1641088800000,1/2/22 2:00,25.525555,28,30,27,31.21,35,27.832222,24.545
1641090600000,1/2/22 2:30,26,28,30,27,29,35,28,25
1641092400000,1/2/22 3:00,25.237223,28.275555,29.487223,27,29,35,28,25
1641094200000,1/2/22 3:30,25.762777,30,29.512777,27,29.263334,35,28,25
1641096000000,1/2/22 4:00,26,30,30,27,30,35,28,25
1641097800000,1/2/22 4:30,24.474445,30,29.487223,28.776667,30,34.942223,28,25
1641099600000,1/2/22 5:00,24,30,29.512777,29,30,31,28,25
1641101400000,1/2/22 5:30,24,30,30,29,30,31.014444,28,25
1641103200000,1/2/22 6:00,24,30,30,29,30,32,28,25
