timestamp,timestamp_date_format,B1,B2,B3,B4,B5,B6,B7,B8
1646092800000,3/1/22 0:00,19.357222,35,31,30,23,41,32,31
1646094600000,3/1/22 0:30,19.642778,35,31,30,23.492222,41,32,31
1646096400000,3/1/22 1:00,19,35,31,30.047777,25,42.433334,32,31
1646098200000,3/1/22 1:30,19.714445,35,32.603333,32,25,45,33.643333,31
1646100000000,3/1/22 2:00,21,35,33,32,25,45,34,31
1646101800000,3/1/22 2:30,21,35.579445,33,32,25,45,32.356667,31
1646103600000,3/1/22 3:00,21,36,32.198334,32,25,45,32,31
1646105400000,3/1/22 3:30,21,34.84111,32,32,25,45,32,31
1646107200000,3/1/22 4:00,21,34.579445,32.801666,32,25,45,32,32.204445
1646109000000,3/1/22 4:30,21,33.84111,32.198334,32,25,45,32,33
1646110800000,3/1/22 5:00,21,33,32,32,25,45,32,33
1646112600000,3/1/22 5:30,21,33,32,32,25,45,32,32.397778
1646114400000,3/1/22 6:00,21,33,32,31.97611,25,45,32,32
1646116200000,3/1/22 6:30,21,34.15889,33.603333,31.095556,25.492222,45,32,32
1646118000000,3/1/22 7:00,20.285555,35.579445,35.603333,35.095554,27.492222,45,34.465,33.806667
1646119800000,3/1/22 7:30,19.357222,40.05611,40.81,39.238888,31.215,45,40.751667,38.613335
1646121600000,3/1/22 8:00,20,50.532776,52.421665,49.26278,41.199444,45,52.681667,50.033333
1646123400000,3/1/22 8:30,20,58.89722,58.206665,60.095554,51.49222,44.641666,59.93,57.806667
1646125200000,3/1/22 9:00,20,62.738335,59.801666,63.95222,53.246113,44.358334,61.821667,60.204445
1646127000000,3/1/22 9:30,19.642778,64,60.801666,62.04778,54.246113,45,63.643333,61
1646128800000,3/1/22 10:00,19.357222,65.15889,62.603333,64.02389,55,44.641666,65.64333,62.204445
1646130600000,3/1/22 10:30,20,66,66.206665,65,55.49222,44.358334,66.82166,64.80666
1646132400000,3/1/22 11:00,20,63.68222,63.793335,64.952225,56.015556,45,63.713333,64.19334
1646134200000,3/1/22 11:30,20,60.261665,61.396667,62.95222,52.753887,43.925,63,61.795555
1646136000000,3/1/22 12:00,20,61.31778,61,60.904446,51.753887,42,62.178333,59.795555
1646137800000,3/1/22 12:30,20.357222,63,59.396667,57.023888,49.769444,42,59.535,58.397778
1646139600000,3/1/22 13:00,20.642778,61.84111,59.801666,58.071667,46.984444,42,59.821667,59.204445
1646141400000,3/1/22 13:30,20,62.738335,64.00833,60.976112,50.984444,42,62.465,61.204445
1646143200000,3/1/22 14:00,20.357222,64,66.60333,60.023888,54.49222,42,63,63.204445
1646145000000,3/1/22 14:30,21.357222,64.579445,68.60333,61.119446,56,42,65.465,65.204445
1646146800000,3/1/22 15:00,20.928333,66.15889,69,66,56.49222,41.641666,66.82166,66.60222
1646148600000,3/1/22 15:30,19.357222,67.579445,69,65.952225,58,41,69.465,67.60222
1646150400000,3/1/22 16:00,20,67.420555,68.19833,64,57.015556,41,66.71333,67.39778
1646152200000,3/1/22 16:30,20,64.102776,63.19,63.761112,53.015556,41,63.535,63.988888
1646154000000,3/1/22 17:00,19.642778,54.467224,53.181667,53.713333,47.538887,41,55.605,55.375557
1646155800000,3/1/22 17:30,19,46.68222,43.785,41.904446,37.292778,41,44.14,47.386665
1646157600000,3/1/22 18:00,19.714445,43.84111,39.595,37.880554,27.769444,41.358334,37.07,41.988888
1646159400000,3/1/22 18:30,21,42.420555,37.396667,33,24.492222,41.641666,35.178333,40
1646161200000,3/1/22 19:00,21,42,35.396667,32.928333,25.75389,41,34.178333,37.59111
1646163000000,3/1/22 19:30,20.642778,39.10278,34.198334,30,24.75389,41,32.356667,33.59111
1646164800000,3/1/22 20:00,19.642778,35.84111,34,30,24,41,32,32
1646166600000,3/1/22 20:30,19,35,34.801666,29.952223,23.261667,41,31.178333,32
1646168400000,3/1/22 21:00,19,36.15889,34.198334,28,21,41,31,32
1646170200000,3/1/22 21:30,19,35.84111,34.801666,28,21.24611,41.358334,31,32
1646172000000,3/1/22 22:00,19,34.420555,33.396667,28,22,41.641666,31,32
1646173800000,3/1/22 22:30,19,34,32.198334,28,21.75389,41,34.286667,30.795555
1646175600000,3/1/22 23:00,19,34,32,28,21,41.716667,32.535,30
1646177400000,3/1/22 23:30,19.357222,34.579445,35.206665,28,21.492222,42.641666,32,30
1646179200000,3/2/22 0:00,20,34.420555,36,28,23,42,32,30
1646181000000,3/2/22 0:30,20,34,36,28.02389,23,42.358334,32,30
1646182800000,3/2/22 1:00,20,34,36,29,23.24611,43,32,30
1646184600000,3/2/22 1:30,20,34,36.801666,29,24,43,32,32.40889
1646186400000,3/2/22 2:00,20,34,37,29,23.507778,43,32,34
1646188200000,3/2/22 2:30,20,34.579445,37,29,22,43,32,34
1646190000000,3/2/22 3:00,20,35,36.198334,29,22,43,32,34
1646191800000,3/2/22 3:30,20,35,36,29,22,43,32,32.795555
1646193600000,3/2/22 4:00,20.357222,35,35.198334,29.047777,22.24611,44.075,32,32
1646195400000,3/2/22 4:30,21,35,35,31,23,46,32.821667,32
1646197200000,3/2/22 5:00,21,35,35,31,23,46,33,32
1646199000000,3/2/22 5:30,21,35,35,31,23,46,33,32
1646200800000,3/2/22 6:00,21,36.15889,35,31,23,46,33,32
1646202600000,3/2/22 6:30,21,37,36.603333,31.047777,23.492222,46,33,32
1646204400000,3/2/22 7:00,21,38.738335,38.603333,33.191113,25.984444,46,37.108334,34.40889
1646206200000,3/2/22 7:30,21.357222,44.635555,46.215,41.26278,31.707222,46,45.395,42.02222
1646208000000,3/2/22 8:00,21.642778,56.691666,56.818333,52.119446,42.461113,46,56.86,54.43111
1646209800000,3/2/22 8:30,21,65.897224,59.801666,57.071667,49.753887,46,61.465,59.397778
1646211600000,3/2/22 9:00,21,66.84111,61.603333,60.023888,49.984444,46,65.28667,59.602222
1646213400000,3/2/22 9:30,21,67.15889,62,61.023888,53.246113,46,66,61.204445
1646215200000,3/2/22 10:00,21,70.897224,65.206665,62,54.49222,46,69.28667,64.40889
1646217000000,3/2/22 10:30,20.642778,70.102776,64.39667,62,55.50778,46,68.35667,65.39778
1646218800000,3/2/22 11:00,20.714445,67.420555,62.396667,61.976112,53.261665,45.641666,65.535,64.39778
1646220600000,3/2/22 11:30,21.285555,64.68222,60.396667,60.95222,51.246113,45.358334,65.82166,62.193333
1646222400000,3/2/22 12:00,20.357222,60.10278,59.198334,58.976112,52,46,63.535,60.397778
1646224200000,3/2/22 12:30,20.642778,58.579445,56.595,57.904446,51.753887,45.641666,62.178333,58.193333
1646226000000,3/2/22 13:00,20.714445,60.15889,57.603333,54.071667,51.246113,45,61.178333,57
1646227800000,3/2/22 13:30,21.642778,61.579445,58.801666,57.04778,51.753887,45,63.465,58.204445
1646229600000,3/2/22 14:00,21,62.579445,60.603333,59.04778,51.246113,45,64.82166,59.602222
1646231400000,3/2/22 14:30,21,64.738335,61.801666,61.04778,52.984444,45,67.465,62.40889
1646233200000,3/2/22 15:00,21,66.579445,62,63,55.753887,45,68,64.60222
1646235000000,3/2/22 15:30,21,64.595,61.976112,63,54.06333,45.580555,67.956665,63.351112
1646236800000,3/2/22 16:00,20.420555,66.405,60.976112,62.50778,51.126667,45.419445,66.956665,61.351112
1646238600000,3/2/22 16:30,20,62.19,59.928333,60.50778,49,45,65.78333,61
1646240400000,3/2/22 17:00,21.15889,58.595,56.785,56.538887,43.38,45.580555,60.48,56.877777
1646242200000,3/2/22 17:30,20.84111,50.785,47.880554,46.785,34.658333,45.419445,48.826668,46.93111
1646244000000,3/2/22 18:00,20,44.991665,42.904446,39.50778,32,45,44.913334,42.52667
1646245800000,3/2/22 18:30,20,41.595,38.95222,37.50778,31.063334,45.580555,42.87,40.351112
1646247600000,3/2/22 19:00,20,41,36.904446,35.50778,28.595,46,39.826668,38.351112
1646249400000,3/2/22 19:30,20,37.793335,32.95222,34,26.531666,45.419445,35.913334,36.351112
1646251200000,3/2/22 20:00,20,38.603333,31.02389,34,25.063334,45,34,33.52667
1646253000000,3/2/22 20:30,20,39,32,34,24,45.580555,34,33
1646254800000,3/2/22 21:00,20,39,32,34,24,45.419445,34,33
1646256600000,3/2/22 21:30,20,39,32,34,24.468334,45,34,33
