timestamp,timestamp_date_format,B1,B2,B3,B4,B5,B6,B7,B8
1633046400000,10/1/21 0:00,25,24,24,22.76389,25.77111,34.97,24,21.095556
1633048200000,10/1/21 0:30,25,24,25.165556,23,24.393333,35,24.97889,22
1633050000000,10/1/21 1:00,25,24.401667,25.494444,22.385,24,35,25,22
1633051800000,10/1/21 1:30,25,25,25.452778,22,24,35,25,22
1633053600000,10/1/21 2:00,25,25,26,22,24,35,25,22.914444
1633055400000,10/1/21 2:30,25,25,26,22,24,36.963333,25,23
1633057200000,10/1/21 3:00,25.233334,25,25.688334,22,24,38,25,23
1633059000000,10/1/21 3:30,27,25,25,22,24,38,25,23
1633060800000,10/1/21 4:00,27,25,25,22.328333,24,38,25,23
1633062600000,10/1/21 4:30,27,25,25,23,24,38,25,23
1633064400000,10/1/21 5:00,27,25,25.113333,23.443333,24,38,25,23
1633066200000,10/1/21 5:30,27,26.981112,26.511389,24.872223,24.461111,38,25.87111,23
1633068000000,10/1/21 6:00,27,29.701666,26.511389,28.6925,29.988056,38,28.741667,25.693333
1633069800000,10/1/21 6:30,27.660555,38.016666,35.41,28.6925,29.988056,36.359165,35.333332,33.8
1633071600000,10/1/21 7:00,28,51.248333,50.11,49.836113,49.773335,36.359165,55.18611,47.266666
1633073400000,10/1/21 7:30,27.577223,60.927776,58.103333,59.866665,57.102222,34.000557,55.18611,61.755554
1633075200000,10/1/21 8:00,27.302778,65.305,62.235554,65.30556,61.05111,34.876667,66.916664,61.755554
1633077000000,10/1/21 8:30,28.541666,67.310555,64.87889,65.363335,62,35,66.135,64.98111
1633078800000,10/1/21 9:00,30.468056,67.23333,66,64.42834,62.529446,34.365,65.25611,64.14222
1633080600000,10/1/21 9:30,30.468056,65.5925,66,65.299446,62.599445,34.508335,65,63.26611
1633082400000,10/1/21 10:00,29.069445,65.5925,65.958336,65.84889,57.00889,35,61.217777,64.775
1633084200000,10/1/21 10:30,29.483889,66.416115,62.946667,61.077778,57.00889,35,56.47889,65.503334
1633086000000,10/1/21 11:00,30,64.441666,60.15333,57.86,51.578335,35,56.47889,62.78
1633087800000,10/1/21 11:30,28.333334,60.423332,57.416668,57,51.732777,35,55.008335,59.470833
1633089600000,10/1/21 12:00,25,57,58.230556,57,53.94,34.229443,55.900555,59.470833
1633091400000,10/1/21 12:30,25.136667,57.47,62.357777,59.225,57.191113,34.678333,61.658333,59.854443
1633093200000,10/1/21 13:00,26,59,65.23722,62,59.439445,34.43111,60.9,62.468334
1633095000000,10/1/21 13:30,26,61.044445,66.39333,62.468887,60.671112,34,62.424446,63
1633096800000,10/1/21 14:00,26,61.044445,67.97667,63.625,62,34,64,63
1633098600000,10/1/21 14:30,26,56.595,67.97667,61,61.29,34,63.60889,63
1633100400000,10/1/21 15:00,26.711111,59.246666,60.540554,61,53.419445,34,61.52778,61.351112
1633102200000,10/1/21 15:30,25.767778,54.983334,55.033333,56.35278,53.419445,34,55.961113,57.09667
1633104000000,10/1/21 16:00,25,43.683334,42.284443,42.711113,37.016666,34,46.133335,49.052223
1633105800000,10/1/21 16:30,25.441668,33.684444,31.461111,36.984444,31.722221,34,30.923334,34.093334
1633107600000,10/1/21 17:00,26,29.541666,27.430555,31.98,27.155556,34,30.923334,21.93
1633109400000,10/1/21 17:30,25.728333,29,26.072222,28.866667,24.64,34,27.067778,21.93
1633111200000,10/1/21 18:00,25,27.973333,24.276667,28,22.228333,34,27,21
1633113000000,10/1/21 18:30,25,24.155556,23,26.823334,21,34,23.92,21
1633114800000,10/1/21 19:00,25,20.187778,23,25,21,34,23,21
1633116600000,10/1/21 19:30,25,20.983334,23,25,21,34,23,21
1633118400000,10/1/21 20:00,25,20.983334,22.474167,25,21,34,23,21
1633120200000,10/1/21 20:30,25,20,22.474167,25,21,33.685555,23,21
1633122000000,10/1/21 21:00,25,20,22.98,25,21,33,23,21.934444
1633123800000,10/1/21 21:30,25,22.385,23,25,21,33.18611,23,23
1633125600000,10/1/21 22:00,25,22.266111,23.845,25,21,34,23,22.295555
1633127400000,10/1/21 22:30,25,22.672777,24.78111,25,21,34,23,21
1633129200000,10/1/21 23:00,25.51111,22.394444,24.282778,25,21.939444,34,23.224445,21
1633131000000,10/1/21 23:30,25.562222,22,24,27.258333,21.136667,34.996666,25,21
1633132800000,10/2/21 0:00,25,22,23.437222,25.98,21,35,25,21
1633134600000,10/2/21 0:30,25,22,23,25,21,35,25,21
1633136400000,10/2/21 1:00,25.39,22,23,25,21,35,25,21
1633138200000,10/2/21 1:30,27,22,22.631666,25.956667,21,35,25,21.940556
1633140000000,10/2/21 2:00,27,21.786112,22.318333,27,21,35,25,22
1633141800000,10/2/21 2:30,27,21,23,27,21.498888,35,23.542223,22
1633143600000,10/2/21 3:00,27,21.115555,23,27,21.556667,35,24.363333,22
1633145400000,10/2/21 3:30,27,22,23.18,27,21.784445,36.043335,25,22.733334
1633147200000,10/2/21 4:00,27,22,24,27,22.285555,37,25,23
1633149000000,10/2/21 4:30,27,22,24,27,21,37,25,23
1633150800000,10/2/21 5:00,27,22.852222,24,26.381111,21,37,25,23
1633152600000,10/2/21 5:30,27,24,24,26,21,37,25,23
1633154400000,10/2/21 6:00,27,24,24,26,21,37,25,23
1633156200000,10/2/21 6:30,27,24,24.428888,26,21,37,25,23
1633158000000,10/2/21 7:00,27,24,26.267778,26.915556,21.646667,37,26.108889,24.37111
1633159800000,10/2/21 7:30,27,24,28,29.731112,23,37,27,25
1633161600000,10/2/21 8:00,27,26.868334,28,28,23.152779,37,27,23.97
1633163400000,10/2/21 8:30,27,27,26.066668,28,24.529167,37,27,23.875555
1633165200000,10/2/21 9:00,27,27,26,28,24.529167,37,27,25
1633167000000,10/2/21 9:30,27,27,26.749445,28,23.092222,37,27,25
1633168800000,10/2/21 10:00,27.445555,27,25.727777,28,23,37,27,25
1633170600000,10/2/21 10:30,28,27,25,28,21.422222,37,27,24.852222
1633172400000,10/2/21 11:00,27.642221,27,25,28,22.506666,37,27,23
1633174200000,10/2/21 11:30,27,27,25,27.40889,23,37,27,23
1633176000000,10/2/21 12:00,27,27.347778,24.550556,26.455555,23,37,27,24.97889
1633177800000,10/2/21 12:30,27,28,24,26,23,37,27,24.054445
1633179600000,10/2/21 13:00,27,28,24,26,23,37,27,24
1633181400000,10/2/21 13:30,27,27.796112,24.596666,26.396667,23.494444,37,27,24
1633183200000,10/2/21 14:00,27,26.686666,25.498888,27,24,37,27,24
1633185000000,10/2/21 14:30,27,25.205555,24,26.705555,24,37,27,24
1633186800000,10/2/21 15:00,27,24.887777,24.151112,25.5,23.304445,37,25.84,23.309444
1633188600000,10/2/21 15:30,27,24.887777,24.725,24,22,37,24.471666,23
1633190400000,10/2/21 16:00,27,23,22,24,22,37,25.431667,23
1633192200000,10/2/21 16:30,27,23,22,24,22,37,25.708334,22.458889
1633194000000,10/2/21 17:00,27,23,22,24,22,37,23.619444,22
1633195800000,10/2/21 17:30,27,23,22,24,22,37,23,22.413889
1633197600000,10/2/21 18:00,27,23,22,24,22,37,23,22.65
1633199400000,10/2/21 18:30,27,23,22,24,22,37,23,22
1633201200000,10/2/21 19:00,26.463333,24.255556,22,24,22,37.503334,23,22
1633203000000,10/2/21 19:30,26,23.853333,22,24,22,37.503334,23,22
1633204800000,10/2/21 20:00,26.42,23,22,24,22,34.224445,23,22
1633206600000,10/2/21 20:30,26.643888,24.353333,22,24.661667,23.55,34,23,22.525278
1633208400000,10/2/21 21:00,26.297222,25.217777,22,25,22.582222,34,23,22.525278
1633210200000,10/2/21 21:30,26.761667,23.661667,22,25,22,34,23,22
1633212000000,10/2/21 22:00,26.168888,23,22,25,22,34,23,22
1633213800000,10/2/21 22:30,27,23,22,24.59,22,34.619446,25.263334,23.733334
1633215600000,10/2/21 23:00,27,23,22,24,22,34.452778,26,22.414444
1633217400000,10/2/21 23:30,27,23,22,24,22,34.48722,25.381666,22.730556
1633219200000,10/3/21 0:00,27,23,22.203333,24.40889,22,35,25,21.687778
1633221000000,10/3/21 0:30,27,23,24,26,22,35.36611,24.512222,21
1633222800000,10/3/21 1:00,27,23,24,26,22,35.691666,24,21
1633224600000,10/3/21 1:30,27,23,24,26,22,35,24,21
1633226400000,10/3/21 2:00,27,23,24,26,22,35.595,24,21
1633228200000,10/3/21 2:30,27,23,24,26,22.521667,38,24,21.391111
1633230000000,10/3/21 3:00,27,23,24,26,22.521667,38,24,21.663889
1633231800000,10/3/21 3:30,27,23,24,26,23,38,24,21.56889
1633233600000,10/3/21 4:00,27,23,24,26,23,38,24,22.769444
1633235400000,10/3/21 4:30,27,23,24.57,26,23,38,24,22.048334
1633237200000,10/3/21 5:00,27,23,24.475555,26,23,38,22.133333,22.49611
1633239000000,10/3/21 5:30,27,23,24,26,23,38,22,22.49611
1633240800000,10/3/21 6:00,27,23,24,26,23,38,22,22
1633242600000,10/3/21 6:30,26.644444,23,24,26,23,38,22.780556,22.906666
1633244400000,10/3/21 7:00,25,23,24,26,23,38,22.265556,22.141111
1633246200000,10/3/21 7:30,25.083889,22.819445,24,26,23,38,22,22
1633248000000,10/3/21 8:00,26,22.26111,24,26,23,38,22,22
1633249800000,10/3/21 8:30,26,24,24,26,23,38,22,22
1633251600000,10/3/21 9:00,26,24,24,26,23,38,22,22
1633253400000,10/3/21 9:30,26,24,24,26,23,38,22,22
1633255200000,10/3/21 10:00,26,24,24,26,23,37.36639,22,22
1633257000000,10/3/21 10:30,26,23.076666,24,26,23,37.36639,22,22
1633258800000,10/3/21 11:00,25.675556,22,24.52111,26,23,37.81389,22,22
1633260600000,10/3/21 11:30,25.264444,22,24.537777,26,23,37.240555,22,22
1633262400000,10/3/21 12:00,25.784445,22.635555,24,26,22.387222,37.70778,22,22
1633264200000,10/3/21 12:30,25.138334,23.764444,24,25.564444,22,38,22,22
1633266000000,10/3/21 13:00,25.468056,23,24,25,22,37.435,22,22
1633267800000,10/3/21 13:30,25.468056,23.081112,24,25,22,37,22,22
1633269600000,10/3/21 14:00,25,24,24,25,22,37,22,22
1633271400000,10/3/21 14:30,25,24,23.481945,25,22,37,22,22.59111
1633273200000,10/3/21 15:00,25,24,23.481945,25,22,37,22,22.48611
1633275000000,10/3/21 15:30,25,22.26,23,25,22,37,22,22.424444
1633276800000,10/3/21 16:00,25,23.546667,24.756666,25,22,37,22,22.660555
1633278600000,10/3/21 16:30,25,22.615555,23.414444,25,22,37,22,22.251112
1633280400000,10/3/21 17:00,25,22,22.292778,25,22,37,22,23
1633282200000,10/3/21 17:30,25,22,22.60111,25,22,37,22,23
1633284000000,10/3/21 18:00,25,22,23,25,22,37,22,23
1633285800000,10/3/21 18:30,25,22,23,25,22,37,22,23
1633287600000,10/3/21 19:00,25,22,23,24.59111,22,37,22,23
1633289400000,10/3/21 19:30,25.5175,22,23,24,22,37,22,23
1633291200000,10/3/21 20:00,25.5175,23.03,23,24.208889,22,37,22,23
1633293000000,10/3/21 20:30,25.085,23.03,23,25,22,37.34611,22,22.407778
1633294800000,10/3/21 21:00,25,22.153334,23,24.499166,22.10389,37.04889,22,22.48
1633296600000,10/3/21 21:30,25,23.546667,23,24.499166,23.509445,34.14611,22,22.605556
1633298400000,10/3/21 22:00,25,24,22.21889,24,23.509445,35,22,22
1633300200000,10/3/21 22:30,25,24,23.348888,24.811111,24,35,22,22
1633302000000,10/3/21 23:00,25,23.047777,24,24.283333,24,35,22,22
1633303800000,10/3/21 23:30,25,22,24.491112,24,24,35,22,22
1633305600000,10/4/21 0:00,25.179445,22,25,24,24,35,22.88889,22
1633307400000,10/4/21 0:30,26,22,25,24,24,36.96,23.778334,24.641666
1633309200000,10/4/21 1:00,26,22,24.478333,24.305555,24,38,22.642221,25
1633311000000,10/4/21 1:30,26,22,22,24.777222,24,38.457222,23.174444,23.615555
1633312800000,10/4/21 2:00,25.116667,23.972221,22,24,24,38.623333,24,23
1633314600000,10/4/21 2:30,25,24,22,24,24,38,24,23
1633316400000,10/4/21 3:00,26.46,24,23.894444,24,24,38,24,23
1633318200000,10/4/21 3:30,27,24,24,25.995556,24,38,24,23
1633320000000,10/4/21 4:00,27,24,24,26,24,38,24,23
1633321800000,10/4/21 4:30,27,24,24,26,24,38,24,23
1633323600000,10/4/21 5:00,27,24,24,26,24,38,24,23
1633325400000,10/4/21 5:30,27,25.435556,25.84,27.123333,25.324444,38,23.118889,23
1633327200000,10/4/21 6:00,27.387777,29.18,29.198334,30.015556,26.602777,38,27.088888,26.766666
1633329000000,10/4/21 6:30,29,34.75,35.044445,37.654446,35.168888,38,35.383335,34.82
1633330800000,10/4/21 7:00,29,55.706665,48.47,51.22278,50.48,36.453335,50.855556,49.212776
1633332600000,10/4/21 7:30,27.005556,55.706665,65.65833,63.536667,62.76,35,60.719444,57.09667
1633334400000,10/4/21 8:00,27,66.833336,65.65833,67.037224,67,35,63.36,60.498333
1633336200000,10/4/21 8:30,25.538889,67.827774,71.72889,67.037224,67,35,64.42111,62.712223
1633338000000,10/4/21 9:00,25.55,68,69.77,64.58889,67,35,65.471664,63.80722
1633339800000,10/4/21 9:30,25.595556,68,69.59778,67.566666,67.82333,35,65.471664,60.969444
1633341600000,10/4/21 10:00,25.24,66.68,68.30444,68.46,64.113335,35,66.78111,60.969444
1633343400000,10/4/21 10:30,26,62.513332,64.54667,65.19,60.85889,35,60.853333,60.969444
1633345200000,10/4/21 11:00,25.481388,58,61.44889,59.736668,59.523888,35,59,56.95778
