timestamp,timestamp_date_format,B1,B2,B3,B4,B5,B6,B7,B8
1630454400000,9/1/21 0:00,28,27,29.795555,25,32.481667,40,29,24.787777
1630456200000,9/1/21 0:30,28,27,27,25.367777,31.576666,40,30.353333,25
1630458000000,9/1/21 1:00,28,27,27,26.357779,30,41.134445,31,25
1630459800000,9/1/21 1:30,28,27.17389,27,27,30,40.871113,31,25.766666
1630461600000,9/1/21 2:00,28,28,27,27,30,40,31,26
1630463400000,9/1/21 2:30,28,28.161112,27.262777,27,30,39.45,31,26
1630465200000,9/1/21 3:00,28,29,28,27,30,39,31,26
1630467000000,9/1/21 3:30,28.046667,29,28,27,30,39,31,26
1630468800000,9/1/21 4:00,29,28.846111,28,27,30,38.475,31,26
1630470600000,9/1/21 4:30,29,28.62889,28,27,30,38.02889,31,26
1630472400000,9/1/21 5:00,29,29.627777,28,27,30,38.488335,31,26
1630474200000,9/1/21 5:30,29,30,29.404444,28.60111,30,38.488335,30.90889,26.394444
1630476000000,9/1/21 6:00,29,32.31778,32.008335,30.52111,33.43111,38.97333,30.366667,28.66
1630477800000,9/1/21 6:30,29,39.885,39.261112,37.44,37.264446,38.06111,43.645832,33.825
1630479600000,9/1/21 7:00,29.382223,52.74222,51.633335,51.305,51.78,38.892776,43.645832,52.269444
1630481400000,9/1/21 7:30,30,62.208332,60.993332,59.97778,58.09667,39,60.483334,52.269444
1630483200000,9/1/21 8:00,30,64.335556,64.43166,62.52722,59.63,39,61,58.963333
1630485000000,9/1/21 8:30,29.84,65.52,65,65.291664,61.124443,39,65.85667,60.825554
1630486800000,9/1/21 9:00,29,67.403336,65.60111,67.6,62.99889,39,64.05778,61
1630488600000,9/1/21 9:30,29.515,68.87278,66.541115,66.344444,64,39.553333,65.68222,64.10889
1630490400000,9/1/21 10:00,29.515,67.93389,64.833885,61.843056,62.64111,40,64.60083,63.295555
1630492200000,9/1/21 10:30,30.323334,66.738335,62.915,61.843056,62.64111,40,64.60083,63.295555
1630494000000,9/1/21 11:00,31.684444,64.736115,59.93,58.164444,59.762222,40,60.191666,57.826668
1630495800000,9/1/21 11:30,30,59.39389,57.663334,55.55611,57.455555,40,56.00889,52.752777
1630497600000,9/1/21 12:00,30,55.86,58.266666,55.420555,57.52222,40,55,52.825554
