timestamp,timestamp_date_format,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
1649548800000,2022-04-10 00:00:00,36639724000,27668473900,34951012000,30489595900,11936204800,12324837400,26541711400,26922670100,37042053000,27134382100,27162521600,11012848600
1649551200000,2022-04-10 00:40:00,36639216000,27660445700,34955731000,30488449000,11934773200,12329285600,26544343000,26922971100,37047190000,27148249100,27167137800,11016215600
1649553600000,2022-04-10 01:20:00,12222820400,9712324600,28556754900,25213243400,11940160500,12333649900,26544562200,26931841000,37057143000,27146629100,27173118000,11022033900
1649556000000,2022-04-10 02:00:00,12711951400,9812979700,11771878400,11091064800,5704186900,5894813700,12693052400,10837697500,24170029100,14144255000,27166652400,11027900400
1649558400000,2022-04-10 02:40:00,12758998000,9822896100,11884425200,11112363000,5849983500,6260799000,12853229600,11139278800,13613844500,10634549200,9831259100,5551310800
1649560800000,2022-04-10 03:20:00,12773176300,10453342200,12129462300,11168029700,5862209000,6275726300,12865000400,11200879600,13715120100,10661791700,9900109800,5628586500
1649563200000,2022-04-10 04:00:00,14153847800,10751298600,12249190400,11160796200,6004214800,6287248400,13001287700,11325974500,13975166000,10675677200,10437490700,5675826700
1649565600000,2022-04-10 04:40:00,19146166300,10981799900,12341384200,12010192900,6189555700,6507458600,13011295200,11444114400,14075747300,10845697000,11566758900,6334741000
1649568000000,2022-04-10 05:20:00,25081350100,14859265000,12545349600,13315290100,6889748500,6527749100,13291723800,11720922100,14456578000,10850881500,12668240900,7271688200
1649570400000,2022-04-10 06:00:00,25965776900,16587891700,14955156500,13369895900,6897754100,6535311400,13349644300,12900113400,17070949400,10866393100,14413513700,8157423600
1649572800000,2022-04-10 06:40:00,27466932200,20634277900,19951818800,20654080000,7024435200,6766482400,13635764200,17889908700,21427159000,12569442300,16198417400,9055608800
1649575200000,2022-04-10 07:20:00,33475567600,20883073000,20394342400,20796923900,8039021100,7733376500,20789092400,20804722700,21492129800,19686748200,16928317400,9332821000
1649577600000,2022-04-10 08:00:00,33577562100,21185902600,21897109500,21179619300,9144103900,8703134700,21883760600,21679159300,21626263600,21047896100,20828880900,9342254100
1649580000000,2022-04-10 08:40:00,33738084400,21283831800,22009362400,21324795900,9864669200,9546685400,21913800700,21788086300,21680205800,21256994800,21203109900,9366791200
1649582400000,2022-04-10 09:20:00,33720502300,21350596600,22101450800,21398464500,9883722800,9564070900,21866303500,21867483100,21783081000,21309294600,21805056000,9383366700
1649584800000,2022-04-10 10:00:00,33736738800,21366876200,22145886200,21409935400,9897377800,9576166400,21885614100,21919057900,21802221600,21362376700,21918208000,9402031100
1649587200000,2022-04-10 10:40:00,33749010400,21379323900,22157291500,21475870700,9905090600,9584915500,21908727800,21961074700,21824229400,21339273200,21933422600,9475103700
1649589600000,2022-04-10 11:20:00,33840822300,21544634400,22174138400,21497391100,9924693000,9590061100,21939044400,21998997500,21835137000,21344874500,21941602300,9478742000
1649592000000,2022-04-10 12:00:00,33904818200,21555292200,22178148400,21499830300,9967291400,9645962200,21948244000,22011961300,21842917400,21357353000,21948227600,9484835800
1649594400000,2022-04-10 12:40:00,33911238700,21574211600,22187905000,21511473200,9966865400,9643059200,21956606000,22024761300,21813176300,21363449900,21965525000,9489439700
1649596800000,2022-04-10 13:20:00,33919289300,21579587600,22207721500,21528340500,9969455100,9645833200,21954994200,22040274900,21822154800,21799407600,21970905100,9484412900
1649599200000,2022-04-10 14:00:00,33934891000,21592078300,22219499500,21537800200,9973850100,9651578900,21961992200,22039470100,21829429200,21414764500,21984258000,9498658800
1649601600000,2022-04-10 14:40:00,33944518700,21607264300,22234189800,21542285300,9985228800,9658998800,21964922900,22045192200,21845864400,21409914900,21993869300,9437522900
1649604000000,2022-04-10 15:20:00,33950724100,21624219600,22236203000,21552478200,9994777600,9667497000,21981014000,22059935700,21851727900,21415301100,21992925200,9443698700
1649606400000,2022-04-10 16:00:00,33964851200,21634654200,22244270100,21566789600,10000783400,9676577800,22010400800,22070384600,21865377800,21428498400,21998311400,9452090400
1649608800000,2022-04-10 16:40:00,33971638300,21638488100,22256531500,21562249200,10009648100,9685867500,22020745200,22082938900,21890080800,21440806900,22024734700,9458052100
1649611200000,2022-04-10 17:20:00,33984239600,21652426800,22288885800,21532448800,10017183700,9693417500,22041169900,22092754900,21943457800,21461493800,22022572000,9461967900
1649613600000,2022-04-10 18:00:00,33926572000,21657882600,22295267300,21509732400,10022901800,9696201700,21987076100,22108727300,21945880600,21468995600,22030190600,9475434500
1649616000000,2022-04-10 18:40:00,33929021400,21591543800,22291124200,21520986100,10028897300,9701146600,21991209000,22082781200,21887424500,21470877700,22033301500,9481703400
1649618400000,2022-04-10 19:20:00,33936824300,21599926300,22186901500,21534130200,10036771800,9708549100,22188001300,22062450700,21883969500,21475520500,22044921900,9489028100
1649620800000,2022-04-10 20:00:00,33942214700,21613826000,22187882500,21537427500,10041569300,9712049200,22198390800,22058969100,21888294900,21417877500,22001809400,9491641300
1649623200000,2022-04-10 20:40:00,33943216100,21617506300,22207236100,21541187600,10038717400,9713000400,22202923000,22068793300,21898647600,21422626800,22012291100,9496726500
1649625600000,2022-04-10 21:20:00,33946734600,21604585500,22245107700,21547280400,10043573200,9713622000,22207600600,22075322400,21894467600,21421639700,22032443400,9501610000
