timestamp,namespace,model_name,dataset_slug,scaling_mode,current_replicas,desired_replicas,current_memory_mb,desired_memory_mb,predicted_cpu_cores,actual_cpu_cores,predicted_ram_gb,actual_ram_gb,action_horizontal,action_vertical,sla_cpu_violation,sla_ram_violation,selected_model,fit_time_cpu_seconds,predict_time_cpu_seconds,fit_time_ram_seconds,predict_time_ram_seconds,refit_skipped,cycle_number,phase,pod_restart_count,pod_ready_latency_seconds
2026-06-16T21:25:28.614807+00:00,tcc-fft-c-cpu-hv,FFT,c-cpu,combined,1,1,4096,4096,0.017992682313883606,0.0,2.616252812272751,0.12363052368164062,no_change,cooldown,False,False,FFT,0.007476135000160866,0.0017805239999688638,0.006986432000303466,0.0016707490003682324,2,168,evaluation,0,0.0
2026-06-16T21:25:43.627597+00:00,tcc-fft-c-cpu-hv,FFT,c-cpu,combined,1,1,4096,4096,0.0027950147625260954,0.0,3.2980128457300566,0.12363052368164062,no_change,no_change,False,False,FFT,0.0073214809999626596,0.0017125930003203393,0.007058562000111124,0.0017245750000256521,2,169,evaluation,0,0.0
2026-06-16T21:25:58.652594+00:00,tcc-fft-c-cpu-hv,FFT,c-cpu,combined,1,1,4096,6144,0.006825157530107954,0.0,5.031798612712618,8.0,no_change,scale_up,False,True,FFT,0.008345481000105792,0.0020045209998897917,0.007865173000027426,0.0019737829998121015,2,170,evaluation,1,0.0
2026-06-16T21:26:13.655118+00:00,tcc-fft-c-cpu-hv,FFT,c-cpu,combined,1,1,6144,6144,0.0,0.0,1.241948839897315,0.12627792358398438,no_change,cooldown,False,False,FFT,0.007309015999908297,0.0017095630000767414,0.006892186000186484,0.0016675100000611565,2,171,evaluation,0,0.0
2026-06-16T21:26:28.673222+00:00,tcc-fft-c-cpu-hv,FFT,c-cpu,combined,1,1,6144,6144,0.0,0.046462988912744925,3.076464921421182,0.1735687255859375,no_change,cooldown,False,False,FFT,0.007906628000000637,0.0018140090000997589,0.006713807999858545,0.0016558520001126453,2,172,evaluation,0,0.0
2026-06-16T21:26:43.694566+00:00,tcc-fft-c-cpu-hv,FFT,c-cpu,combined,1,1,6144,6144,0.010390545063567291,0.07431343926346842,1.8042249709369702,8.0,no_change,cooldown,False,True,FFT,0.009043780999945739,0.0020746959999087267,0.0076577700001507765,0.0018138539999199566,2,173,evaluation,0,0.0
2026-06-16T21:26:58.697726+00:00,tcc-fft-c-cpu-hv,FFT,c-cpu,combined,1,1,6144,6144,0.011888213780275957,0.06582262916666667,0.7253985422992546,0.17710113525390625,no_change,cooldown,False,False,FFT,0.007236537000153476,0.001754645999881177,0.006910744999913732,0.0016466429997308296,2,174,evaluation,0,0.0
2026-06-16T21:27:13.707061+00:00,tcc-fft-c-cpu-hv,FFT,c-cpu,combined,1,1,6144,6144,0.0,0.04286928273272214,2.2121541655354906,8.0,no_change,cooldown,False,True,FFT,0.007240935000027093,0.0016720419998819125,0.006712754000091081,0.0016812459998618579,2,175,evaluation,0,0.0
2026-06-16T21:27:28.720309+00:00,tcc-fft-c-cpu-hv,FFT,c-cpu,combined,1,1,6144,6144,0.0010297848125619023,0.0,3.068126691055165,0.17453765869140625,no_change,cooldown,False,False,FFT,0.0072676100003263855,0.001849767999829055,0.006929398000011133,0.001768186999925092,2,176,evaluation,0,0.0
2026-06-16T21:27:43.726577+00:00,tcc-fft-c-cpu-hv,FFT,c-cpu,combined,1,1,6144,6144,0.002803850339013808,0.0,0.0,8.0,no_change,cooldown,False,True,FFT,0.007346813999902224,0.0018044739999822923,0.007127598999886686,0.0019419760001255781,2,177,evaluation,0,0.0
