timestamp,namespace,model_name,dataset_slug,scaling_mode,current_replicas,desired_replicas,current_memory_mb,desired_memory_mb,predicted_cpu_cores,actual_cpu_cores,predicted_ram_gb,actual_ram_gb,action_horizontal,action_vertical,sla_cpu_violation,sla_ram_violation,selected_model,fit_time_cpu_seconds,predict_time_cpu_seconds,fit_time_ram_seconds,predict_time_ram_seconds,refit_skipped,cycle_number,phase,pod_restart_count,pod_ready_latency_seconds
2026-06-16T23:11:55.723956+00:00,tcc-ens-expsm-fft-prophet-b-cpu-hv,Ensemble,b-cpu,combined,1,1,512,512,0.0,0.0,0.0,0.0,no_change,no_change,False,False,Ensemble,0.0,0.0,0.0,0.0,0,0,warmup,0,0.0
2026-06-16T23:12:10.679283+00:00,tcc-ens-expsm-fft-prophet-b-cpu-hv,Ensemble,b-cpu,combined,1,1,512,1024,0.0,0.0,0.002071380615234375,0.002071380615234375,no_change,scale_up,False,False,Ensemble,0.011884436000059395,0.0,0.0057113630000458215,0.0,2,1,warmup,1,0.0
2026-06-16T23:12:26.631986+00:00,tcc-ens-expsm-fft-prophet-b-cpu-hv,Ensemble,b-cpu,combined,1,1,1024,1024,0.0,0.0,0.0067634579533548435,0.00441741943359375,no_change,no_change,False,False,exponential_smoothing,0.0907247100000177,0.04711841599998934,0.7787999160000254,0.031812671000011505,2,2,warmup,0,0.0
2026-06-16T23:12:40.887890+00:00,tcc-ens-expsm-fft-prophet-b-cpu-hv,Ensemble,b-cpu,combined,1,1,1024,1024,0.0,0.0,0.006621549290873627,0.00441741943359375,no_change,no_change,False,False,exponential_smoothing,0.029212109000013697,0.04538070500007052,0.07927372400001786,0.03993693699999312,2,3,warmup,0,0.0
2026-06-16T23:12:55.961281+00:00,tcc-ens-expsm-fft-prophet-b-cpu-hv,Ensemble,b-cpu,combined,1,1,1024,1024,0.13827774747314298,0.1736019583333333,0.05118566132477201,0.06055450439453125,no_change,no_change,False,False,exponential_smoothing,0.07993104499996662,0.05215599999996812,0.07584157400003733,0.047783648000063295,2,4,warmup,0,0.0
2026-06-16T23:13:11.004251+00:00,tcc-ens-expsm-fft-prophet-b-cpu-hv,Ensemble,b-cpu,combined,1,1,1024,1024,0.26233229840432226,0.2726912083333333,0.06988785723433423,0.0606842041015625,no_change,no_change,False,False,exponential_smoothing,0.08711480100009794,0.054372413000010056,0.08781839499999933,0.04698286300003929,2,5,warmup,0,0.0
2026-06-16T23:13:25.972378+00:00,tcc-ens-expsm-fft-prophet-b-cpu-hv,Ensemble,b-cpu,combined,1,1,1024,5120,0.26589607640573526,0.17440182249883587,4.602310652071238,8.0,no_change,scale_up,False,True,exponential_smoothing,0.08222846399996797,0.04648397500000101,0.06934107200004291,0.04727879300003224,2,6,warmup,1,0.0
2026-06-16T23:13:41.027908+00:00,tcc-ens-expsm-fft-prophet-b-cpu-hv,Ensemble,b-cpu,combined,1,1,5120,5120,0.17703314991342184,0.0,3.2020667431004544,0.06295013427734375,no_change,cooldown,False,False,exponential_smoothing,0.08810697399997025,0.055741146000059416,0.08625589299992953,0.050846019999994496,2,7,warmup,0,0.0
2026-06-16T23:13:56.157340+00:00,tcc-ens-expsm-fft-prophet-b-cpu-hv,Ensemble,b-cpu,combined,1,1,5120,5120,0.19606735819881077,0.16669085833333333,2.3170406676692323,0.12165069580078125,no_change,cooldown,False,False,exponential_smoothing,0.11481671599995025,0.05967183899997508,0.12976215499998034,0.08875988600004803,2,8,warmup,0,0.0
2026-06-16T23:14:11.192857+00:00,tcc-ens-expsm-fft-prophet-b-cpu-hv,Ensemble,b-cpu,combined,1,1,5120,5120,0.212085090452736,0.18500372083333338,1.7233848981651476,0.12172317504882812,no_change,cooldown,False,False,exponential_smoothing,0.08555436699998609,0.053275398000096175,0.09194941199984896,0.04761049900002945,2,9,warmup,0,0.0
2026-06-16T23:14:26.078284+00:00,tcc-ens-expsm-fft-prophet-b-cpu-hv,Ensemble,b-cpu,combined,1,1,5120,5120,0.25424722460375776,0.2720605666666666,2.0492204109910417,2.2062835693359375,no_change,cooldown,False,False,exponential_smoothing,0.09697201300014058,0.05330637099996238,0.0877907999999934,0.044686017999993055,2,10,warmup,0,0.0
2026-06-16T23:14:41.076583+00:00,tcc-ens-expsm-fft-prophet-b-cpu-hv,Ensemble,b-cpu,combined,1,1,5120,5120,0.30204387855637105,0.3262012555332138,2.2795642137081327,2.190044403076172,no_change,cooldown,False,False,exponential_smoothing,0.08517574600000444,0.0523630080001567,0.09175554199987346,0.04825196199999482,2,11,warmup,0,0.0
2026-06-16T23:14:55.974415+00:00,tcc-ens-expsm-fft-prophet-b-cpu-hv,Ensemble,b-cpu,combined,1,1,5120,5120,0.30957854608945196,0.24064988408379878,2.2795642137081327,2.198474884033203,no_change,cooldown,False,False,exponential_smoothing,0.103019391999851,0.05429597400006969,0.005159886000001279,0.04825196199999482,3,12,warmup,0,0.0
