  Error on attempt 1/10 for pod target-app-54678f7884-2b6sl: kubectl exec failed: command terminated with exit code 137
, retrying in 3s …
  Error on attempt 2/10 for pod target-app-54678f7884-2b6sl: kubectl exec failed: command terminated with exit code 137
, retrying in 3s …
  Error on attempt 3/10 for pod target-app-54678f7884-2b6sl: kubectl exec failed: error: unable to upgrade connection: container not found ("target-app")
, retrying in 3s …
  Error on attempt 4/10 for pod target-app-54678f7884-2b6sl: kubectl exec failed: error: unable to upgrade connection: container not found ("target-app")
, retrying in 3s …
  Error on attempt 5/10 for pod target-app-54678f7884-2b6sl: kubectl exec failed: error: unable to upgrade connection: container not found ("target-app")
, retrying in 3s …
  Error on attempt 6/10 for pod target-app-54678f7884-2b6sl: kubectl exec failed: error: unable to upgrade connection: container not found ("target-app")
, retrying in 3s …
  Error on attempt 7/10 for pod target-app-54678f7884-2b6sl: kubectl exec failed: error: unable to upgrade connection: container not found ("target-app")
, retrying in 3s …
  Error on attempt 8/10 for pod target-app-54678f7884-2b6sl: kubectl exec failed: command terminated with exit code 137
, retrying in 3s …
  Error on attempt 9/10 for pod target-app-54678f7884-2b6sl: kubectl exec failed: error: unable to upgrade connection: container not found ("target-app")
, retrying in 3s …
  Error on attempt 10/10 for pod target-app-54678f7884-2b6sl: kubectl exec failed: error: unable to upgrade connection: container not found ("target-app")
, retrying in 3s …
  Error on attempt 1/10 for pod target-app-7d7746d958-2lzkx: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-2lzkx" not found
, retrying in 3s …
  Error on attempt 2/10 for pod target-app-7d7746d958-2lzkx: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-2lzkx" not found
, retrying in 3s …
  Error on attempt 3/10 for pod target-app-7d7746d958-2lzkx: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-2lzkx" not found
, retrying in 3s …
  Error on attempt 4/10 for pod target-app-7d7746d958-2lzkx: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-2lzkx" not found
, retrying in 3s …
  Error on attempt 5/10 for pod target-app-7d7746d958-2lzkx: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-2lzkx" not found
, retrying in 3s …
  Error on attempt 6/10 for pod target-app-7d7746d958-2lzkx: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-2lzkx" not found
, retrying in 3s …
  Error on attempt 7/10 for pod target-app-7d7746d958-2lzkx: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-2lzkx" not found
, retrying in 3s …
  Error on attempt 8/10 for pod target-app-7d7746d958-2lzkx: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-2lzkx" not found
, retrying in 3s …
  Error on attempt 9/10 for pod target-app-7d7746d958-2lzkx: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-2lzkx" not found
, retrying in 3s …
  Error on attempt 10/10 for pod target-app-7d7746d958-2lzkx: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-2lzkx" not found
, retrying in 3s …
RAM injector started: 757 points, starting at index 0, step=15s, namespace=tcc-ens-expsm-fft-prophet-c-cpu-hv
Logging to: /app/k8s/load/traces/ram_injection_log.csv
  [startup] waiting for pods in tcc-ens-expsm-fft-prophet-c-cpu-hv …
[0/756] 2022-04-10T00:00:00  total_mb=4226  pods=2
  → pod=target-app-54678f7884-2b6sl status=ERROR  latency=0.0ms
  → pod=target-app-7d7746d958-2lzkx status=ERROR  latency=0.0ms
[1/756] 2022-04-10T00:40:00  total_mb=4320  pods=1
  → pod=target-app-757955768f-j52gl status=200  latency=2402.8ms
[2/756] 2022-04-10T01:20:00  total_mb=4443  pods=1
  → pod=target-app-757955768f-j52gl status=200  latency=2650.8ms
[3/756] 2022-04-10T02:00:00  total_mb=4514  pods=1
  → pod=target-app-757955768f-j52gl status=200  latency=2754.7ms
[4/756] 2022-04-10T02:40:00  total_mb=4518  pods=1
  → pod=target-app-757955768f-j52gl status=200  latency=2828.9ms
[5/756] 2022-04-10T03:20:00  total_mb=4520  pods=1
  → pod=target-app-757955768f-j52gl status=200  latency=2766.2ms
[6/756] 2022-04-10T04:00:00  total_mb=4516  pods=1
  → pod=target-app-757955768f-j52gl status=200  latency=2707.3ms
[7/756] 2022-04-10T04:40:00  total_mb=4533  pods=1
  → pod=target-app-757955768f-j52gl status=200  latency=2640.6ms
[8/756] 2022-04-10T05:20:00  total_mb=4808  pods=1
  → pod=target-app-757955768f-j52gl status=200  latency=2723.2ms
[9/756] 2022-04-10T06:00:00  total_mb=5148  pods=1
  → pod=target-app-757955768f-j52gl status=200  latency=3030.3ms
[10/756] 2022-04-10T06:40:00  total_mb=5222  pods=1
  → pod=target-app-757955768f-j52gl status=200  latency=2883.5ms
[11/756] 2022-04-10T07:20:00  total_mb=5236  pods=1
  → pod=target-app-757955768f-j52gl status=200  latency=3283.2ms
[12/756] 2022-04-10T08:00:00  total_mb=5293  pods=1
  → pod=target-app-757955768f-j52gl status=200  latency=2959.8ms
[13/756] 2022-04-10T08:40:00  total_mb=5366  pods=1
  → pod=target-app-757955768f-j52gl status=200  latency=2899.7ms
[14/756] 2022-04-10T09:20:00  total_mb=5397  pods=1
  → pod=target-app-757955768f-j52gl status=200  latency=3238.5ms
[15/756] 2022-04-10T10:00:00  total_mb=5395  pods=1
  → pod=target-app-757955768f-j52gl status=200  latency=3229.0ms
[16/756] 2022-04-10T10:40:00  total_mb=5414  pods=2
  → pod=target-app-757955768f-j52gl status=200  latency=1678.5ms
  → pod=target-app-799b9dff59-v8dvj status=200  latency=1354.6ms
[17/756] 2022-04-10T11:20:00  total_mb=5406  pods=1
  → pod=target-app-799b9dff59-v8dvj status=200  latency=2835.2ms
[18/756] 2022-04-10T12:00:00  total_mb=5509  pods=1
  → pod=target-app-799b9dff59-v8dvj status=200  latency=2938.2ms
[19/756] 2022-04-10T12:40:00  total_mb=5467  pods=1
  → pod=target-app-799b9dff59-v8dvj status=200  latency=3651.2ms
[20/756] 2022-04-10T13:20:00  total_mb=5468  pods=1
  → pod=target-app-799b9dff59-v8dvj status=200  latency=3183.3ms
[21/756] 2022-04-10T14:00:00  total_mb=5473  pods=1
  → pod=target-app-799b9dff59-v8dvj status=200  latency=3080.7ms
[22/756] 2022-04-10T14:40:00  total_mb=5501  pods=1
  → pod=target-app-799b9dff59-v8dvj status=200  latency=2929.2ms
[23/756] 2022-04-10T15:20:00  total_mb=5573  pods=1
  → pod=target-app-799b9dff59-v8dvj status=200  latency=3154.4ms
[24/756] 2022-04-10T16:00:00  total_mb=5583  pods=1
  → pod=target-app-799b9dff59-v8dvj status=200  latency=2900.3ms
[25/756] 2022-04-10T16:40:00  total_mb=5601  pods=2
  → pod=target-app-799b9dff59-v8dvj status=200  latency=1851.6ms
  → pod=target-app-799b9dff59-zb966 status=200  latency=1362.6ms
[26/756] 2022-04-10T17:20:00  total_mb=5598  pods=2
  → pod=target-app-799b9dff59-v8dvj status=200  latency=1559.9ms
  → pod=target-app-799b9dff59-zb966 status=200  latency=1566.0ms
