  Error on attempt 1/10 for pod target-app-54678f7884-mq9d9: kubectl exec failed: command terminated with exit code 137
, retrying in 3s …
  Error on attempt 2/10 for pod target-app-54678f7884-mq9d9: kubectl exec failed: command terminated with exit code 137
, retrying in 3s …
  Error on attempt 3/10 for pod target-app-54678f7884-mq9d9: kubectl exec failed: error: unable to upgrade connection: container not found ("target-app")
, retrying in 3s …
  Error on attempt 4/10 for pod target-app-54678f7884-mq9d9: kubectl exec failed: Error from server (NotFound): pods "target-app-54678f7884-mq9d9" not found
, retrying in 3s …
  Error on attempt 5/10 for pod target-app-54678f7884-mq9d9: kubectl exec failed: Error from server (NotFound): pods "target-app-54678f7884-mq9d9" not found
, retrying in 3s …
  Error on attempt 6/10 for pod target-app-54678f7884-mq9d9: kubectl exec failed: Error from server (NotFound): pods "target-app-54678f7884-mq9d9" not found
, retrying in 3s …
  Error on attempt 7/10 for pod target-app-54678f7884-mq9d9: kubectl exec failed: Error from server (NotFound): pods "target-app-54678f7884-mq9d9" not found
, retrying in 3s …
  Error on attempt 8/10 for pod target-app-54678f7884-mq9d9: kubectl exec failed: Error from server (NotFound): pods "target-app-54678f7884-mq9d9" not found
, retrying in 3s …
  Error on attempt 9/10 for pod target-app-54678f7884-mq9d9: kubectl exec failed: Error from server (NotFound): pods "target-app-54678f7884-mq9d9" not found
, retrying in 3s …
  Error on attempt 10/10 for pod target-app-54678f7884-mq9d9: kubectl exec failed: Error from server (NotFound): pods "target-app-54678f7884-mq9d9" not found
, retrying in 3s …
  Error on attempt 1/10 for pod target-app-7d7746d958-9dnpn: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-9dnpn" not found
, retrying in 3s …
  Error on attempt 2/10 for pod target-app-7d7746d958-9dnpn: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-9dnpn" not found
, retrying in 3s …
  Error on attempt 3/10 for pod target-app-7d7746d958-9dnpn: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-9dnpn" not found
, retrying in 3s …
  Error on attempt 4/10 for pod target-app-7d7746d958-9dnpn: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-9dnpn" not found
, retrying in 3s …
  Error on attempt 5/10 for pod target-app-7d7746d958-9dnpn: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-9dnpn" not found
, retrying in 3s …
  Error on attempt 6/10 for pod target-app-7d7746d958-9dnpn: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-9dnpn" not found
, retrying in 3s …
  Error on attempt 7/10 for pod target-app-7d7746d958-9dnpn: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-9dnpn" not found
, retrying in 3s …
  Error on attempt 8/10 for pod target-app-7d7746d958-9dnpn: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-9dnpn" not found
, retrying in 3s …
  Error on attempt 9/10 for pod target-app-7d7746d958-9dnpn: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-9dnpn" not found
, retrying in 3s …
  Error on attempt 10/10 for pod target-app-7d7746d958-9dnpn: kubectl exec failed: Error from server (NotFound): pods "target-app-7d7746d958-9dnpn" not found
, retrying in 3s …
  Error on attempt 1/10 for pod target-app-677c8b4b6f-tbtfh: kubectl exec failed: command terminated with exit code 137
, retrying in 3s …
  Error on attempt 2/10 for pod target-app-677c8b4b6f-tbtfh: kubectl exec failed: command terminated with exit code 137
, retrying in 3s …
  Error on attempt 3/10 for pod target-app-677c8b4b6f-tbtfh: kubectl exec failed: Error from server (NotFound): pods "target-app-677c8b4b6f-tbtfh" not found
, retrying in 3s …
  Error on attempt 4/10 for pod target-app-677c8b4b6f-tbtfh: kubectl exec failed: Error from server (NotFound): pods "target-app-677c8b4b6f-tbtfh" not found
, retrying in 3s …
  Error on attempt 5/10 for pod target-app-677c8b4b6f-tbtfh: kubectl exec failed: Error from server (NotFound): pods "target-app-677c8b4b6f-tbtfh" not found
, retrying in 3s …
  Error on attempt 6/10 for pod target-app-677c8b4b6f-tbtfh: kubectl exec failed: Error from server (NotFound): pods "target-app-677c8b4b6f-tbtfh" not found
, retrying in 3s …
  Error on attempt 7/10 for pod target-app-677c8b4b6f-tbtfh: kubectl exec failed: Error from server (NotFound): pods "target-app-677c8b4b6f-tbtfh" not found
, retrying in 3s …
  Error on attempt 8/10 for pod target-app-677c8b4b6f-tbtfh: kubectl exec failed: Error from server (NotFound): pods "target-app-677c8b4b6f-tbtfh" not found
, retrying in 3s …
  Error on attempt 9/10 for pod target-app-677c8b4b6f-tbtfh: kubectl exec failed: Error from server (NotFound): pods "target-app-677c8b4b6f-tbtfh" not found
, retrying in 3s …
  Error on attempt 10/10 for pod target-app-677c8b4b6f-tbtfh: kubectl exec failed: Error from server (NotFound): pods "target-app-677c8b4b6f-tbtfh" not found
, retrying in 3s …
RAM injector started: 757 points, starting at index 0, step=15s, namespace=tcc-ens-expsm-prophet-c-cpu-hv
Logging to: /app/k8s/load/traces/ram_injection_log.csv
  [startup] waiting for pods in tcc-ens-expsm-prophet-c-cpu-hv …
[0/756] 2022-04-10T00:00:00  total_mb=4226  pods=2
  → pod=target-app-54678f7884-mq9d9 status=ERROR  latency=0.0ms
  → pod=target-app-7d7746d958-9dnpn status=ERROR  latency=0.0ms
[1/756] 2022-04-10T00:40:00  total_mb=4320  pods=1
  → pod=target-app-677c8b4b6f-tbtfh status=ERROR  latency=0.0ms
[2/756] 2022-04-10T01:20:00  total_mb=4443  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=2550.3ms
[3/756] 2022-04-10T02:00:00  total_mb=4514  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=2532.6ms
[4/756] 2022-04-10T02:40:00  total_mb=4518  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=2878.5ms
[5/756] 2022-04-10T03:20:00  total_mb=4520  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=2548.6ms
[6/756] 2022-04-10T04:00:00  total_mb=4516  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=2762.5ms
[7/756] 2022-04-10T04:40:00  total_mb=4533  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=2771.5ms
[8/756] 2022-04-10T05:20:00  total_mb=4808  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=2773.3ms
[9/756] 2022-04-10T06:00:00  total_mb=5148  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=3032.6ms
[10/756] 2022-04-10T06:40:00  total_mb=5222  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=2749.6ms
[11/756] 2022-04-10T07:20:00  total_mb=5236  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=2953.0ms
[12/756] 2022-04-10T08:00:00  total_mb=5293  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=2893.3ms
[13/756] 2022-04-10T08:40:00  total_mb=5366  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=3203.5ms
[14/756] 2022-04-10T09:20:00  total_mb=5397  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=3051.3ms
[15/756] 2022-04-10T10:00:00  total_mb=5395  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=2916.0ms
[16/756] 2022-04-10T10:40:00  total_mb=5414  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=2951.8ms
[17/756] 2022-04-10T11:20:00  total_mb=5406  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=3166.6ms
[18/756] 2022-04-10T12:00:00  total_mb=5509  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=3062.6ms
[19/756] 2022-04-10T12:40:00  total_mb=5467  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=3119.2ms
[20/756] 2022-04-10T13:20:00  total_mb=5468  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=3166.7ms
[21/756] 2022-04-10T14:00:00  total_mb=5473  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=3255.4ms
[22/756] 2022-04-10T14:40:00  total_mb=5501  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=3042.5ms
[23/756] 2022-04-10T15:20:00  total_mb=5573  pods=1
  → pod=target-app-757955768f-2gn8x status=200  latency=2929.6ms
[24/756] 2022-04-10T16:00:00  total_mb=5583  pods=2
  → pod=target-app-757955768f-2gn8x status=200  latency=1857.8ms
  → pod=target-app-757955768f-m56wb status=200  latency=1576.1ms
[25/756] 2022-04-10T16:40:00  total_mb=5601  pods=4
  → pod=target-app-57f655b559-svnq4 status=200  latency=980.0ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1147.1ms
  → pod=target-app-757955768f-2gn8x status=200  latency=1035.4ms
  → pod=target-app-757955768f-m56wb status=200  latency=885.0ms
[26/756] 2022-04-10T17:20:00  total_mb=5598  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1520.1ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1569.0ms
[27/756] 2022-04-10T18:00:00  total_mb=5601  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1674.6ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1601.8ms
[28/756] 2022-04-10T18:40:00  total_mb=5736  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=2028.3ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1644.3ms
[29/756] 2022-04-10T19:20:00  total_mb=5733  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1678.3ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1663.9ms
[30/756] 2022-04-10T20:00:00  total_mb=5735  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1670.4ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1599.9ms
[31/756] 2022-04-10T20:40:00  total_mb=5751  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1830.5ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1582.9ms
[32/756] 2022-04-10T21:20:00  total_mb=4188  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1316.4ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1345.3ms
[33/756] 2022-04-10T22:00:00  total_mb=4393  pods=2
